Edward Beiner WATERSIDE NAPLES,"""5455 Tamiami Trail A, Ste B5 Naples  FL  34108 United States"""
Naples Optical Center,728 9th Street North Naples  FL  34102 United States
Oberle Opticians,9552 Harding Avenue Surfside  FL  33154 United States
BenNissian Eyes,3491 NE 163rd St North Miami Beach  FL  33160 United States
Edward Beiner AVENTURA,19501 Biscayne Boulevard Mall Aventura  FL  33180 United States
Edward Beiner - Las Olas,603 E Las Olas Blvd Fort Lauderdale  FL  33301 United States
Edward Beiner GARDENS,"""3101 PGA Boulevard, Ste F133 Palm Beach Gardens  FL  33410 United States"""
Eyes of Wellington,13860-3 Wellington Trace Wellington  FL  33414 United States
Advanced Eyecare Specialists,"""319 Belvedere Road, Ste 1 West Palm Beach  FL  33405 United States"""
Jupiter Eye Care,N/A 2205 W Indiantown Road Jupiter  FL  33458 United States
Edward Beiner WORTH AVENUE,"""150 Worth Ave, #161 Palm Beach  FL  33480 United States"""
20/Twenty Eyecare,10660 Forest Hill Boulevard Suite 210 Wellington  FL  33414 United States
Friedrich's Optik,"""328, Worth Ave Palm Beach  FL  33480 United States"""
Finer Optics,Unit 104A 330 Clematis St West Palm Beach  FL  33401 United States
"""Family Vision Center","P.A"",""3175 State Road 7, Ste. 100 Wellington  FL  33449 United States"""
VIP Eye Care Optical Boutique,2201 4th Street North St.Petersburg  FL  33704 United States
Optic Shop St. Petersburg,109 2nd St N Saint Petersburg  FL  33701 United States
Optik! European Eyewear,Unit 115 300 Beach Dr NE Saint Petersburg  FL  33701 United States
Beyond 2020 Vision Specialists,16228 FL - 54 Odessa  FL  33556 United States
The Eye Place,7828 State Road 535 Windermere  FL  34786 United States
Dr. Eye,1400 Hand Ave suite N Ormond Beach  FL  32174 United States
VisionCo Management DBA: InFocus Eyecare,900 W Granada Blvd Unit 1 Ormond Beach  FL  32174 United States
Port Orange Optical,1633 Taylor Rd #104 Port Orange  FL  32128 United States
OCULUS EYEWEAR - SAN MARCOS,2430 S IH-35 #110 San Marcos  TX  78666 United States
Focus Optical,1925 Hughes Landing Boulevard Suite 600 The Woodlands  TX  77380 United States
The Woodlands Eye Center,Ste 408 10807 Kuykendahl Rd Spring  TX  77382 United States
Memorial Eye Center,2833 Riley Fuzzel Road Ste 300 Spring  TX  77386 United States
Focus Eyecare,142 Vintage Park Blvd. Ste. J. Houston  TX  77070 United States
Eye Society,714 Vale Street Suite 2G Houston  TX  77007 United States
Focus Optical - Springwoods,Ste. 140 1700 City Plaza Dr Spring  TX  77389 United States
LAspecs,1910 Kaliste Salloon Road Ste. 300 Lafayette  LA  70508 United States
Bluebonnet Vision Associates,STE 103 4859 Williams dr Georgetown  TX  78633 United States
KDMC Vision Center,624 Highway 51 N Brookhaven  MS  39601 United States
Spectacles Fine Eyewear,Ste B-180 7500 Windrose Ave Plano  TX  75024 United States
Clear Eye + Optical Flower Mound,1124 W. Main St Lewisville  TX  75067 United States
EyeQ Vision,"""8380 Warren Parkway, Suite 605 Frisco  TX  75034 United States"""
Eye Care Avenue,5000 Eldorado Pkwy Ste 310 Frisco  TX  75033 United States
Tracey L. Mercer,2000 Southlake Park #100 Hoover  AL  35244 United States
Optometrix Beverly Hills,375 N Beverly Drive Beverly Hills  CA  90210 United States
Dan Deutsch - Beverly Hills,"""437 North Bedford Drive, Suite B Beverly Hills  CA  90210 United States"""
Montana Eyes,718 Montana Avenue Santa Monica  CA  90403 United States
Optometrix Brentwood,11701 Wilshire Blvd. Brentwood Los Angeles  CA  90025 United States
Dan Deutsch Optical Outlook UCLA,"""200 Stein Plaza, Ste.1-231 Los Angeles  CA  90095 United States"""
Advanced Eyecare Center of Manhattan Beach,"""2101 Rosecrans Ave, Suite 1215 El Segundo  CA  90245 United States"""
Dr Carolyn Wong Optometrist,11540 Santa Monica Blvd. Suite 202 Los Angeles  CA  90025 United States
Century City Optometry,Century City Shopping Mall 10250 Santa Monica Blvd. #170 Los Angeles  CA  90067 United States
ALPERT VISION CARE,20929 Ventura Blvd. #23 Woodland Hills  CA  91364 United States
Sacks Optical Boutique,"""1125 S Beverly Drive, Unit 710 Los Angeles  CA  90035 United States"""
Opulent Eyes Optometry,12214 Ventura Blvd Studio City  CA  91604 United States
Dan Deutsch Optical Outlook Sunset Plaza,8624 W Sunset Blvd West Hollywood  CA  90069 United States
Good See Co.,801 Ocean Front Walk Venice  CA  90291 United States
Sunny Optometry,1355 4th Street Santa Monica  CA  90401 United States
Modo Optometry,4718 3/4 Admiralty way Marina Del Rey  CA  90292 United States
Manhattan Beach Vision Group,946 Manhattan Beach Boulevard Manhattan Beach  CA  90266 United States
"""Ophthalmology Associates of the Valley","Encino"",""of the Valley"
16311 Ventura Blvd.,"Ste 750 Encino  CA  91436 United States"""
Macy Eye Center,8635 West third Street #360W Los Angeles  CA  90048 United States
Optx By Wayne Fletcher,23673 Calabasas Rd Calabasas  CA  91302 United States
LensCrafters Los Angeles,105 8471 Beverly Blvd Los Angeles  CA  90048 United States
Eyes Of Hermosa Optometry,1200 Artesia Blvd Suite 100 Hermosa Beach  CA  90254 United States
Richlin Eye Associates,"""8907 Wilshire Blvd, 3rd FL Beverly Hills  CA  90210 United States"""
