name,address,city,zip
Visual Eyes,3945 Main Street,Amherst,14226
Eye Openers,2929 Monroe Avenue,Rochester,14618
SPECTACLE - DISTILLERY,18 Rack House Mews,Toronto,"M5A 3C4, "
The Optic Zone,33 Jarvis Street,Toronto,M5E 1N3
Evok Eyewear + Opticians,175 King St E,Toronto,M5A 1J4
Zoom Optical,145 King Street West,Toronto,M5H 1J8
FYI Doctors- College Park,777 Bay Street,Toronto,M5G 2C8
Minh Chau Optical,305 Spadina Avenue,Toronto,M5T 2E6
Spectacle,"752 Queen Street West, 2nd F.",Toronto,M6J 1E9
Bay Bloor Optometry,"77 Bloor Street West, Ste 1409",Toronto,M5S 1M2
Dr. Shalu Pal & Associates,408-80 Bloor Street West,"Toronto, ON",M5S 2V1
VIEW EYE CARE,BLOOR STREET WEST #480A 151,"TORONTO, ON",M5S 1S4
EYE WONDER OPTICAL,1075 Queen St. W,"Toronto, Ontario",M6J1H3
Summerhill Optometry,92 Shaftesbury Ave,Toronto,M4T 1A5
Rapp Optical,788 College Street,Toronto,M6G 1C6
Owl Optometry,173 Roncesvalles Ave,"Toronto, ON",M6R 2L3
St. Clair Eye Clinic,"822 St. Clair Ave. West, #26",Toronto,M6C 1C1
SPECTACLE - LAWRENCE PARK,3342 Yonge St.,"Toronto, ON",M4N 2M4
Queen Spectacle II,Lakeshore Road East 102,"Port Credit, ON",L5G 1E3
York Mills Eye Care,97 Wilson Avenue,"North York, Toronto",M5M 2Z9
Designer's Optica 2,321 Cornwall Rd. Unit #101,"Oakville, ON",L6J 7Z5
Optical Thirty 8,"B3, 1475 Dundas Street East",Mississauga,L4X 1L3
FYI Doctors,"25 King Street, Suite C 248",Toronto,M3L1G5
WALES OPTICAL,"Hwy #7E, Unit 87 & 88 3255","Markham, ON",L3R 3P9
Ideal Optical,4559 Hurontario St. Unit #3A,"Mississauga, ON",L4Z 3L9
MDO Opticians - Burlington,1025 Plains Rd E #101,Burlington,L7T 4K1
The Optical Tailor,217 Queen Street South,"Mississauga, ON",L5M 1L6
BLUR EYEWEAR DUNDAS,95 King Street West,Dundas,L9H 1V1
Hanley's Eyewear Boutique,241 Wilson Street East,"Ancaster, Ont",L9G 2B8
DR DANIEL RAYMAN OPTOMETRY,372 Tower Hill Rd #9,Richmond Hill,L4E 0T8
MAHIL OPTOMETRY,123 West Drive,Brampton,L6T 2J6
Optica Hermoso,14981 Yonge Street,"Aurora, ON",L4G 1M5
One Vision Eyecare,"19101a Leslie Street, Unit C5",Sharon,L0G 1V0
