VAUGHN VISION,170 S BROADWAY,SARATOGA SPRINGS,NY,12866-4555
ENCOUNTER,482 BROADWAY,SARATOGA SPRINGS,NY,12866-2207
ADVANCED OPTICAL,999 MONTAUK HWY,SHIRLEY,NY,11967-2130
STERLING OPTICAL,1701 SUNRISE HWY,BAY SHORE,NY,11706-9217
DRS. PODELL AND VALLE,77 VETERANS HWY,COMMACK,NY,11725-3410
LARKFIELD OPTICAL,516 LARKFIELD ROAD,EAST NORTHPORT,NY,11731
ECB PONCE CORP,63 UNION STREET,PONCE,PR,00730
NORDSTROM,4000 MALL OF SAN JUAN BLVD,SAN JUAN,PR,00924
SAKS FIFTH AVE,2000 MALL OF SAN JUAN BLVD,SAN JUAN,PR,00924
EYECARE 20/20,550 CARR. 128 - STE 106,YAUCO,PR,00698
OPTOMETRY WORLD,30 MATTEI LLUVERAS   OFICIA 1A,YAUCO,PR,00698
UNIVERSAL SUNGLASSES,1485 BLVD MIGUEL POU,PONCE,PR,00730
SOUTHWEST OPTICAL,TORRE SAN CrRISTóBAL OFICINA 214,PONCE,PR,00717
CONSULTORES OFTALMICO SUR,EDIF PARRA  SUITE 802 PONCE BY PASS,PONCE,PR,00717
CENTRO VISUAL-DR ORTIZ,1 CALLE MCK JONES,VILLALBA,PR,00766
CLINICA VISUAL,CALLE BARBOSA #250,MOCA,PR,00676
EYE ZONE  CSP,4100 AVE ARCADIO ESTRADA,SAN SEBASTIAN,PR,00685
CENTRO OFTALMICO DR MARIA RODR,162 AVE UNIV INTERAMERICANA,SAN GERMAN,PR,00683
MAYAGUEZ OPTICAL LAB,EDIFICIO LA PALMA  C/PERAL 14,MAYAGUEZ,PR,00680
ARECIBO OPTICAL BOUTIQUE,177 AVE JOSE DE DIEGO,ARECIBO,PR,00612-4524
DRA VILMARIE TALAVERA,HC 01 BOX 7272,HATILLO,PR,00659
EYE CENTER BOUTIQUE,NORTE 506 TRUNCADO STREET,HATILLO,PR,00659
EYE CARE OPTICAL,CALLE PA HERNANDEZ 73,HATILLO,PR,00659
CENTRO VISUAL DEL SUR,CALLE WILLIE ROSARIO 13,COAMO,PR,00769
FAMILY VISION CENTER GUAYAMA,PLAZA GUAYAMA MALL 48,GUAYAMA,PR,00784
DORADO BEACH  RITZ-CARLTON RESERVE,100 DORADO BEACH DRIVE,DORADO,PR,00646
OPTILOOK -- DORIS ANTUNEZ,MAHI MAHI SHOPPING VILLAGE,DORADO,PR,00646
PERFECT VISION CLINIC,P.O. BOX 1793,SABANA SECA,PR,00952
