Name,Address
FAIRWAY EYE CENTER OF LEAWOOD,"11707 ROE AVE, LEAWOOD, KANSAS 66211 UNITED STATES"
KANSAS CITY EYE CLINIC OPT,"7504 ANTIOCH ROAD, OVERLAND PARK, KANSAS 66204 UNITED STATES"
DICK STORY OPTICAL,"5631 N. PENNSYLVANIA, OKLAHOMA CITY, OKLAHOMA 73112 UNITED STATES"
LITTLE ROCK EYE CLINIC OPT DEP,"201 EXECUTIVE COURT, LITTLE ROCK, ARKANSAS 72205 UNITED STATES"
GOULD VISION,"523 W. 41ST STREET, MIAMI BEACH, FLORIDA 33140 UNITED STATES"
EYES ON BRICKELL,"1925 BRICKELL AVENUE, MIAMI, FLORIDA 33129 UNITED STATES"
BAYVIEW EYEWEAR,"5858 MIAMI LAKES DR, MIAMI LAKES, FLORIDA 33014 UNITED STATES"
TWELVE SIXTY NINE,"3113 COMMODORE PLAZA, MIAMI, FLORIDA 33133 UNITED STATES"
EYES ON SUNRISE,"2583 EAST SUNRISE BLVD., FORT LAUDERDALE, FLORIDA 33304 UNITED STATES"
EXOTIC EYEWEAR OPTICAL,"2501 N. FEDERAL HIGHWAY, FORT LAUDERDALE, FLORIDA 33305 UNITED STATES"
MORAN & MAURI EYE CENTER,"15332 N.W. 79TH COURT, MIAMI LAKES, FLORIDA 33016 UNITED STATES"
VISION CARE UNLIMITED,"2901 CLINT MOORE RD, BOCA RATON, FLORIDA 33496 UNITED STATES"
FINER OPTICS,"330 CLEMATIS STREET, SUITE 104 A, WEST PALM BEACH, FLORIDA 33401 UNITED STATES"
MOON & CO. EYEWEAR,"105 S. LEMON AVENUE, SARASOTA, FLORIDA 34236 UNITED STATES"
YOUR EYES OPTICAL,"2903 N. SAINT MARY'S STREET, SAN ANTONIO, TEXAS 78212 UNITED STATES"
DR. CHARLENE HAYNES,"16793 SAN PEDRO, SAN ANTONIO, TEXAS 78232 UNITED STATES"
STONE OAK VISION SOURCE,"810 KNIGHTS CROSS DRIVE, SAN ANTONIO, TEXAS 78258 UNITED STATES"
STARS IN YOUR EYES OPTOMETRY,"714 CONGRESS AVENUE, AUSTIN, TEXAS 78701 UNITED STATES"
HOUSTON OPTICAL,"2855 GRAMERCY STREET, HOUSTON, TEXAS 77025 UNITED STATES"
HOUSTON OPTICAL,"1100 GULF FREEWAY, LEAGUE CITY, TEXAS 77573 UNITED STATES"
UNIQUE OPTICAL,"2431 BISSONNET, HOUSTON, TEXAS 77005 UNITED STATES"
EYE CONTACT,"2617 W. HOLCOMBE BLVD., HOUSTON, TEXAS 77025 UNITED STATES"
MAXIM EYES OPTICAL,"2615 E STATE ROAD 60, VALRICO, FL 33594 UNITED STATES"
OPTICAL CENTER OF TAMPA,"3000 W. MARTIN LUTHER KING JR., TAMPA, FLORIDA 33607 UNITED STATES"
TAMPA EYE VISION CENTER,"3000 W. MARTIN LUTHER KING JR., TAMPA, FLORIDA 33607 UNITED STATES"
VISION CENTER SOUTH,"3000 W. MARTIN LUTHER KING JR., TAMPA, FLORIDA 33607 UNITED STATES"
FOREST CREEK EYE CENTER,"1701 RED BUD LANE, ROUND ROCK, TEXAS 78664 UNITED STATES"
MEMORIAL PARK VISION,"5535 MEMORIAL DRIVE, HOUSTON, TEXAS 77007 UNITED STATES"
NORTHWEST EYE OPTICAL,"1740 W. 27TH STREET, HOUSTON, TEXAS 77008 UNITED STATES"
EYEWORKS OF MIDTOWN,"316 GRAY STREET, HOUSTON, TEXAS 77002 UNITED STATES"
WOODLANDS EYE ASSOCIATES,"4775 W. PANTHER CREEK, THE WOODLANDS, TEXAS 77381 UNITED STATES"
WOODLANDS EYE ASSOCIATES,"1001 MEDICAL PLAZA DRIVE, THE WOODLANDS, TEXAS 77380 UNITED STATES"
GRAND VISION,"6601 VETERANS BLVD., METAIRIE, LOUISIANA 70003 UNITED STATES"
DR. LAUREN AGNEW,"3601 HIGHWAY 190 EAST, MANDEVILLE, LOUISIANA 70471 UNITED STATES"
THE EYESITE OF BLUFFTON,"104 BUCKWALTER PARKWAY, BLUFFTON, SOUTH CAROLINA 29910 UNITED STATES"
ARENA EYEWORKS,"3750 SPORTS ARENA BLVD., SAN DIEGO, CALIFORNIA 92110 UNITED STATES"
RAY GLASSES,"3631 E. INDIAN SCHOOL ROAD, PHOENIX, ARIZONA 85018 UNITED STATES"
OPTICAL EXPRESSIONS,"6137 N- SCOTTSDALE ROAD, SUITE 113, SCOTTSDALE, ARIZONA 85250 UNITED STATES"
ADAIR EYEWEAR,"3550 WEST 7TH STREET, FORT WORTH, TEXAS 76107 UNITED STATES"
RAGSDALE & MARTIN,"2740 S. BROADWAY, TYLER, TEXAS 75701 UNITED STATES"
WHITLOCK OPTICAL,"863 COLEMAN BLVD, MOUNT PLEASANT, SOUTH CAROLINA 29464 UNITED STATES"
THE UNOPTICAL,"633 South Coast Highway 101, ENCINITAS, CA 92024 UNITED STATES"
THE UNOPTICAL,"633 SOUTH COAST HWY 101, ENCINITAS, CALIFORNIA 92024 UNITED STATES"
OLD TOWN OPTOMETRY,"78-015 MAIN STREET, LA QUINTA, CALIFORNIA 92253 UNITED STATES"
GRIFFIN OPTOMETRIC,"1001 AVENIDA PICO, SAN CLEMENTE, CALIFORNIA 92673 UNITED STATES"
DESERT VISION,"555 SOUTH SUNRISE WAY, PALM SPRINGS, CALIFORNIA 92264 UNITED STATES"
DR. BRYANT VO,"5327 UNIVERSITY DRIVE, IRVINE, CALIFORNIA 92612 UNITED STATES"
BELMONT SHORE OPTOMETRIC,"5219 E. 2ND STREET, LONG BEACH, CALIFORNIA 90803 UNITED STATES"
STYLE OF OPTICS,"2315 PACIFIC COAST HIGHWAY, LOMITA, CALIFORNIA 90717 UNITED STATES"
OPTIKOS OPTOMETRY,"3680 WILSHIRE BLVD., LOS ANGELES, CALIFORNIA 90010 UNITED STATES"
OPTICAL SHOP OF ASPEN,"15054 N. SCOTTSDALE RD.  #160, SCOTTSDALE, ARIZONA 85254 UNITED STATES"
COLLEYVILLE EYE CORP./SIMPLY EYES,"5307 COLLEYVILLE BLVD., COLLEYVILLE, TEXAS 76034 UNITED STATES"
GOO GOO EYES,"1003 DRAGON STREET, DALLAS, TEXAS 75207 UNITED STATES"
ESSILOR CREEKVIEW OPTICAL,"13555 N. STEMMONS FREEWAY, DALLAS, TEXAS 75234 UNITED STATES"
