Name,Address
KEY WEST OPTICAL,"1444 KENNEDY DR, KEY WEST, FL 33040-4008"
OPPENHEIMER EYE CLINIC PLLC,"3306 N ROOSEVELT BLVD, KEY WEST, FL 33040"
JAMES J BOILINI OD,"99696 OVERSEAS HWY, KEY LARGO, FL 33037-2432"
PATRICK DEL VECCHIO PA,"28 N HOMESTEAD BLVD, HOMESTEAD, FL 33030"
DADE OPTICAL LABORATORY,"948 N KROME AVE, HOMESTEAD, FL 33030-4409"
SENIA BUSTILLO OD PA,"8765 S W 165TH AVE STE 107, MIAMI, FL 33193"
EYEWEAR DISTRIBUTION,"9437 SW 143RD PL, MIAMI, FL 33186"
HAGEN EYE CARE,"12977 SW 112TH ST, MIAMI, FL 33186"
SAVITRI BADRI MAHARAJ,"12225 S W 128TH ST UNIT 104, MIAMI, FL 33186"
DR MARIO CARCAMO,"13852 SW 88TH ST, MIAMI, FL 33186"
CJ HOLDING,"13676 N KENDALL DR, MIAMI, FL 33186"
LIANNE M PINO OD PA,"9000 SW 152ND ST STE 205, PALMETTO BAY, FL 33157-1942"
CLARIN EYECARE,"14429 S DIXIE HWY, MIAMI, FL 33176-7924"
"GARY P. GEGERSON, OD","12139 SOUTH DIXIE HWY, MIAMI, FL 33156"
SPECS APPEAL,"11217 S DIXIE HWY, MIAMI, FL 33156-4443"
PAMELA MINKES OD PA,"11734 S W 104TH ST, MIAMI, FL 33186"
OPTICAL WORLD,"7535 N KENDALL DR STE 3140, MIAMI, FL 33156"
FAMILY EYECARE CENTER,"9065 SW 87TH AVE STE 107, MIAMI, FL 33176-2307"
DR PHILIP MARGOLESKY,"7535 N KENDALL DR STE 2240, MIAMI, FL 33156-7702"
SCHNEIDER EYE CENTER,"7450 SW 57TH AVE, SOUTH MIAMI, FL 33143"
EYE CARE OPTICAL CENTER,"7300 SW 57TH AVE, SOUTH MIAMI, FL 33143-5312"
C & K EYECARE,"11654 N KENDALL DR, MIAMI, FL 33176-1005"
JAMES SEGAL MD PA,"5858 SW 68TH ST, MIAMI, FL 33143"
SANCHEZ OPTICAL,"12859 SW 88TH ST, MIAMI, FL 33186"
ADOLFO TAPIA,"8260 SW 43RD TER, MIAMI, FL 33155-4217"
ABC OPTOMETRY INC,"8748 BIRD RD, MIAMI, FL 33165"
OPTIWOW,"3200 SW 60TH CT STE 103, MIAMI, FL 33155-4069"
DR EDWARD WEISS,"9844 SW 40TH ST, MIAMI, FL 33165-3912"
INTERNATIONAL OPT(2635),"2264 CORAL WAY, CORAL GABLES, FL 33145-3509"
OPTICAL LOPEZ,"3025 CORAL WAY, Miami, FL 33145-3207"
CLARIN EYECARE,"58 MIRACLE MILE, CORAL GABLES, FL 33134"
L GONZALEZ OD PA,"11760 SW 40TH ST STE 101, MIAMI, FL 33175-3530"
RICHARD PADRON OD PA,"2200 SW 16TH ST STE 204, MIAMI, FL 33145"
SUAREZ OPTICAL INC,"8100 SW 24TH ST, MIAMI, FL 33155-1227"
WEST KENDALL EYE CARE,"14411 SW 42ND ST, MIAMI, FL 33175-7818"
ROTH EYE CARE,"136 NE 2ND AVE, MIAMI, FL 33132-2509"
DR LIANETTE LARIA PA,"8220 W FLAGLER ST, MIAMI, FL 33144-2028"
"C JUSTIN HOLCOMB, OD LLC","8410 W FLAGLER ST STE 201, MIAMI, FL 33144"
STAR OPTICAL LLC,"930 WASHINGTON AVE 5TH FL, MIAMI BEACH, FL 33139"
CARTERS OPTICAL,"6703 NW 7TH ST  POS 3179, MIAMI, FL 33126"
JCA OPTICAL LTD,"6703 NW 7TH ST  POS #63488, MIAMI, FL 33126"
OPTICAL DEPARTMENT MIAMI,"900 NW 17TH ST 1ST FL, MIAMI, FL 33136"
STARR VISION CENTER PLLC,"280 W 2ND ST, RIO GRANDE CITY, TX 78582"
FAMILY VISION CARE PA,"207 W PALMA VISTA DR STE I, PALMVIEW, TX 78572-2127"
PA SHAH EYE CENTER,"1506 E GRIFFIN PKWY, MISSION, TX 78572-2424"
20/20 VISION CARE,"1313 S 10TH ST, MCALLEN, TX 78501-5023"
HAMMOND VISION CENTER,"505 S BROADWAY ST, MCALLEN, TX 78501-4903"
SHANGRI-LA,"217 S MAIN ST, MCALLEN, TX 78501-4842"
CLEAR FOCUS VISION ASSOCIATES PA,"521 S 10TH ST, MCALLEN, TX 78501-4956"
ANTONIO RAMIREZ OD,"4013 N 23RD ST STE A, MCALLEN, TX 78504"
FAMILY VISION,"900 W SAM HOUSTON BLVD STE 5, PHARR, TX 78577-5215"
"DIANA FUENTES, OD","5233 N 23RD ST, MCALLEN, TX 78504-4010"
"VANESSA CHANG, OD","318 W NOLANA AVE, MCALLEN, TX 78504-2528"
LANDON L LISKA OD,"5801 N 10TH ST STE 200, MCALLEN, TX 78504-2601"
"ROBERTO OLIVAREZ JR, OD","6900 N 10TH ST STE 5, MCALLEN, TX 78504-3151"
FIONA KOLIA OD PA,"7400 N 10TH ST STE F, MCALLEN, TX 78504-7707"
DR LUIS NAVARRO PLLC,"2301 S US HIGHWAY 281, EDINBURG, TX 78539-3712"
VALLE VISTA OPTICAL,"2000 S EXPRESSWAY 83 STE F9, HARLINGEN, TX 78552"
SAN BENITO VISION SOURCE,"801 N SAM HOUSTON BLVD, SAN BENITO, TX 78586"
THURMOND EYE ASSOCIATES - MISSION,"1519 E 6TH ST, WESLACO, TX 78596-6605"
THURMOND EYE ASSOC - EDINBURG,"1519 E 6TH ST, WESLACO, TX 78596"
WESLACO VISION SOURCE,"415 S AIRPORT DR STE H, WESLACO, TX 78596-5396"
"JAMES ROWE, OD","2405 N ED CARY DR, HARLINGEN, TX 78550-8221"
GUILLEN EYECARE PLLC,"301 N SALINAS BLVD, DONNA, TX 78537"
EYEWEAR DESIGNS,"419 E 12TH ST, BROWNSVILLE, TX 78520-5015"
BROWNSVILLE EYE CENTER,"2200 BOCA CHICA BLVD STE 106, BROWNSVILLE, TX 78521-2241"
LOS FRESNOS EYE CLINC &,"810 W OCEAN BLVD STE C2, LOS FRESNOS, TX 78566-3644"
BARRERA EYE CENTER PLLC,"2485 HUDSON BLVD, BROWNSVILLE, TX 78526"
"RICARDO GONZALEZ, OD","609 E HIGHWAY 107  PO BOX 1137, ELSA, TX 78543"
DRS. M & S MADISON,"914 PARK AVE, MARCO ISLAND, FL 34145-2751"
DRS DERY/EADS,"60 10TH ST N, NAPLES, FL 34102-6277"
NAPLES EYE PHYSICIANS OPTICAL,"661 GOODLETTE RD N STE 105, NAPLES, FL 34102-5609"
NAPLES OPTICAL CENTER,"728 TAMIAMI TRL N, NAPLES, FL 34102-8134"
FRANTZ EYECARE,"2500 GOODLETTE-FRANK RD N, NAPLES, FL 34103-4608"
TERRY R VAN DER HEYDEN OD,"4060 TAMIAMI TRL N STE 4, NAPLES, FL 34103-3596"
CENTER FOR SIGHT - NAPLES,"700 NEAPOLITAN WAY, NAPLES, FL 34103"
VAN BUSKIRK OPT,"798 NEAPOLITAN WAY, NAPLES, FL 34103-8504"
EYE PHYSICIANS & SURGEONS,"5335 AIRPORT PULLING RD N, NAPLES, FL 34109-2011"
NAPLES OPTICAL TOO,"5959 PINE RIDGE RD, NAPLES, FL 34119"
EYE ASSOCIATES OF SOUTHWEST FLORIDA,"7955 AIRPORT RD N STE 104, NAPLES, FL 34109-1794"
JEFFERY L ZIMM MD,"1435 IMMOKALEE RD, NAPLES, FL 34110-1401"
SOUTHWEST FLORIDA EYECARE LLC,"11176 TAMIAMI TRL N, NAPLES, FL 34110"
GRESHAM III OD. TRAVIS A,"25225 CHAMBER OF COMMERCE DR, BONITA SPRINGS, FL 34135"
AVE MARIA OPTICAL,"5068 ANNUNCIATION CIRCLE STE 108, AVE MARIA, FL 34142"
CENTER FOR SIGHT- VALENTINE,"16970 SAN CARLOS BLVD 105, FORT MYERS, FL 33908-1225"
JOHNSON EYECARE LLC,"15661 SAN CARLOS BLVD STE 4, FORT MYERS, FL 33908"
BRENDA C HART OD,"14290 METROPOLIS AVE STE 2, FORT MYERS, FL 33912"
MICHAEL J COLLINS,"6900 INTERNATIONAL CENTER BLVD, FORT MYERS, FL 33912"
SOUTHWEST FLORIDA EYE CARE LLC,"6850 INTERNATIONAL CENTER BLVD, FORT MYERS, FL 33912-4346"
DR TREVOR ELMQUIST,"7970 SUMMERLIN LAKES DR STE 200, FORT MYERS, FL 33907-3650"
FRANTZ EYECARE,"12731 NEW BRITTANY BLVD, FORT MYERS, FL 33907-3632"
FORT MYERS EYE ASSOCIATES,"8801 COLLEGE PKWY STE 3, FORT MYERS, FL 33919-4882"
CENTER FOR SIGHT FT MEYERS,"1537 BRANTLEY RD UNIT A2, FORT MYERS, FL 33907-3923"
DOCTORS EYECARE CENTERS,"5995 S POINT BLVD STE 111, FORT MYERS, FL 33919"
GOROVOY MD EYE SPECIALIST,"12381 S CLEVELAND AVE STE 300, FORT MYERS, FL 33907-3852"
FASHION EYES VISION CTR,"1850 BOY SCOUT DR STE 107, FORT MYERS, FL 33907"
GRANT EYEGLASSES INC,"5248 BANK ST, FORT MYERS, FL 33907-2111"
EYE PHYSICIANS & SURGEONS OF FL PA,"4790 BARKLEY CIR BLDG C STE 103, FORT MYERS, FL 33907-3625"
NAPLES STOCK ORDERS,"4790 BARKLEY CIR BLDG C STE103, FORT MYERS, FL 33907"
FRANTZ EYECARE,"3515 DEL PRADO BLVD S, CAPE CORAL, FL 33904"
ECOF - IMMOKALEE,"2665 OAK RIDGE CT STE B, FORT MYERS, FL 33901-9389"
SHIPWIZE,"21052 SHERIDAN ST STE JM 9990, FORT LAUDERDALE, FL 33332"
KENNEDY VISION PA,"18503 PINES BLVD STE 205, PEMBROKE PINES, FL 33029"
BETANCOURT MCIVER ODS,"17782 SW 2ND ST, PEMBROKE PINES, FL 33029-3923"
CAVALIER LOGISTICS,"13439 NW 19TH LN, MIAMI, FL 33182"
VALUE OPTICAL- ID VALOPT,"10901 NW 146TH ST STE 8, HIALEAH GARDENS, FL 33018"
NEW VISION UNLIMITED,"1102 NW 136TH PL, MIAMI, FL 33182"
VISION UNLIMITED OF WESTON,"17120 ROYAL PALM BLVD STE 2, WESTON, FL 33326"
MICHELE MING,"2291 SW 164TH AVE, MIRAMAR, FL 33027"
CHARM EYEWEAR,"10760 NW 138 ST STE 5, HIALEAH GARDENS, FL 33018"
INTERPORT LOGISTICS LLC,"12950 NW 25TH ST, MIAMI, FL 33182"
SUMINISTROS OPTICOS DE EL SALVADOR,"2200 NW 129TH AVE STE 108, MIAMI, FL 33182"
PROVISION EYECARE CENTER,"16359 MIRAMAR PKWY, MIRAMAR, FL 33027"
EYE SURGERY ASSOCIATES-WESTON,"2300 N COMMERCE PKWY STE 307, WESTON, FL 33326-3256"
MIRVISION,"2909 SW 160TH AVE, MIRAMAR, FL 33027-4212"
WESTON EYE CARE CENTER,"4577 WESTON RD, WESTON, FL 33331"
OCL /EN STEPHANIE THIEL ANA,"10301 NW 108TH AVEÂ  STE  6, MEDLEY, FL 33178"
ARUBA VISION CENTER,"10301 N W 108TH AVE, MEDLEY, FL 33178"
SUPER OPTICIAN,"9505 NW 108TH AVENUE, MEDLEY, FL 33178"
MENS CORNER,"9505 N W 108TH AVE, MEDLEY, FL 33178"
INTERNATIONAL CARGO CONSOLIDATORS,"11700 NW 101ST RD STE 8, MEDLEY, FL 33178"
REAL VISION CENTER,"14934 PINES BLVD STE 125, PEMBROKE PINES, FL 33027"
EYE CENTER OF SOUTH FLORIDA,"1951 NW 150TH AVE STE B102, PEMBROKE PINES, FL 33028-2875"
ROUSE FAMILY EYECARE,"15916 W STATE RD 84, SUNRISE, FL 33326-1233"
MY EYE DOCTOR INC,"18600 N W 87TH AVE STE 124, MIAMI GARDENS, FL 33015"
CONCEPTS IN FREIGHT INC,"10814 NW 33RD ST STE 115, MIAMI, FL 33172"
KETAN PATEL,"10813 NW 30TH ST, MIAMI, FL 33172"
JCA OPTICAL,"10813 NW 30TH ST STE 115 WEB 69265, MIAMI, FL 33192"
PAS CARGO USA,"10901 NW 146TH ST UNIT 8, MIAMI LAKES, FL 33018"
JOSEPH PIERRE YVES DECASTRO,"10900 NW 21ST ST UNIT 130, MIAMI, FL 33172"
EYES ON THE JOB PLLC,"10676 NW 19TH ST, MIAMI, FL 33172"
GLOBAL EYES,"10302 NW SOUTH RIVER DR UNIT 21, MEDLEY, FL 33178"
GIANNIE CASTELLANOS,"8060 NW 155 ST  STE 201, MIAMI LAKES, FL 33016"
DR. CARLOS MAURI#2408,"15332 NW 79TH CT, MIAMI LAKES, FL 33016-5808"
VISION PLUS OPTICAL QM 212,"5877 SW 21ST STREET, WEST PARK, FL 33023-3008"
EYE LOOKS,"6850 MIRAMAR PKWY, MIRAMAR, FL 33023-6003"
PRESIDENTIAL OPTICAL-HOLLYWOOD,"300 S PARK RD STE 300, HOLLYWOOD, FL 33021-8353"
JAMES M BERANEK OD PA,"3277 HOLLYWOOD BLVD, HOLLYWOOD, FL 33021-6906"
IVES FAMILY EYECARE,"1031 IVES DAIRY RD STE 133, NORTH MIAMI BEACH, FL 33179-2538"
DR CONNIE S CHIANG,"7867 PINES BLVD, PEMBROKE PINES, FL 33024-6916"
LINDSAY INTERNATIONAL,"20340 NE 15TH CT UNIT 150C, NORTH MIAMI BEACH, FL 33179-2716"
MyEyeDr.,"2011 Harrison Street, Hollywood, FL 33020"
MED-1043,"2011 HARRISON ST, HOLLYWOOD, FL 33020"
HEIDEN & HEIDEN PC,"2019 HOLLYWOOD BLVD, HOLLYWOOD, FL 33020-4509"
BARRY M KAY OD,"2011 HARRISON ST, HOLLYWOOD, FL 33020-5019"
ROBERT DAVIS OD,"1732 N UNIVERSITY DR, PEMBROKE PINES, FL 33024-3602"
PINES FAMILY EYE CARE,"9101 PEMBROKE RD, PEMBROKE PINES, FL 33025-1638"
KATHRYN A ESTEVEZ OD LLC,"6795 STIRLING RD, DAVIE, FL 33314"
OPTICAL WORLD,"19575 BISCAYNE BLVD #579, AVENTURA, FL 33180"
FIFTY PERCENT EYEWEAR,"1715 E HALLANDALE BEACH BLVD, HALLANDALE BEACH, FL 33009-4621"
MIAMI GARDEN EYECARE II,"18383 NW 27TH AVE, MIAMI GARDENS, FL 33056"
DR ROBERT JACOBS PA,"599 S FEDERAL HWY, DANIA BEACH, FL 33004-4174"
HOLLYWOOD EYE INSTITUTE PA,"9999 SHERIDAN ST STE 100, COOPER CITY, FL 33024"
EYE Q OPTICAL,"2295 NE 164TH STREET, NORTH MIAMI BEACH, FL 33160"
DR WAFA ABDULRAZZAQ PA,"9620 STIRLING RD STE 105, COOPER CITY, FL 33024"
NOVA SOUTHEASTERN,"3200 S UNIVERSITY DR, FORT LAUDERDALE, FL 33328"
EYE SURGERY ASSOC-PEMBROKE PINES,"603 N FLAMINGO RD STE 250, PEMBROKE PINES, FL 33028-1013"
JAIME A BALAGUER JR OD PA,"1770 NW 122 TERRACE, PEMBROKE PINES, FL 33026"
ASH EYE INSTITUTE,"701 SE 32ND CT  UNIT 106, FORT LAUDERDALE, FL 33316-4122"
VISIONCARE FAMILY,"5540 S FLAMINGO RD, COOPER CITY, FL 33330-2728"
MD COMMERCE LLC,"5858 MIAMI LAKES DR, MIAMI LAKES, FL 33014"
CLEARSIGHT SOUTH OPT,"1378 SE 17TH ST, FORT LAUDERDALE, FL 33316-1726"
JONATHAN GORDON OD,"4320 W BROWARD BLVD STE 2, PLANTATION, FL 33317"
