Name,Address
"GARY P. GEGERSON, OD","12139 SOUTH DIXIE HWY, MIAMI, FL 33156"
CARIBBEAN OCEAN LOGISTICS,"8005 NW 80 ST UNIT 4, MIAMI, FL 33166"
KEO EYEWEAR INC,"14711 BISCAYNE BLVD, NORTH MIAMI, FL 33181"
JAIME A BALAGUER JR OD PA,"1770 NW 122 TERRACE, PEMBROKE PINES, FL 33026"
MyEyeDr.,"2011 Harrison Street, Hollywood, FL 33020"
EYE Q OPTICAL,"2295 NE 164TH STREET, NORTH MIAMI BEACH, FL 33160"
MED-319,"3011 YAMATO RD STE A19, BOCA RATON, FL 33434"
MyEyeDr.,"3011 Yamato Rd, Boca Raton, FL 33434"
OPTICS SOHO,"711 S HOWARD AVE STE 120, TAMPA, FL 33606-2467"
OPTICA,"711 S HOWARD AVE, TAMPA, FL 33606-2465"
MyEyeDr.,"1114 Gramercy Lane, Tampa, FL 33607"
MED-595,"1114 GRAMERCY LN STE D, TAMPA, FL 33607"
DESIGNING EYES OPTICAL BOUTIQUE,"200 N TAMPA ST STE G110, TAMPA, FL 33602"
OPTICS SOHO,"6152 DELANCEY STATION ST STE 101, RIVERVIEW, FL 33578"
COUGHLIN EYE CENTER PC,"7051 DR PHILLIPS BLVD STE 3, ORLANDO, FL 32819-5140"
EYES AND OPTICS,"312 PARK AVE N, WINTER PARK, FL 32789-4266"
MED-697,"255 E BASSE RD STE 330, SAN ANTONIO, TX 78209"
MyEyeDr.,"255 E. Basse Road, San Antonio, TX 78209"
Houston Optical,"1429 Hwy 6, Sugar Land, TX 77478"
Houston Optical,"1447 Hwy 6, Sugar Land, TX 77478"
Houston Optical,"1331 W Grand Pkwy N, Katy, TX 77493"
Houston Optical,"10907 Memorial Hermann Dr, Houston, TX 77584"
Houston Optical,"1100 Gulf Freeway, League City, TX 77573"
Houston Optical,"7111 Medical Center Dr, Texas City, TX 77591"
MED-796,"1616 CLEAR LAKE CITY BLVD STE 103, HOUSTON, TX 77062"
Houston Optical,"5125 Fairmont Pkwy, Pasadena, TX 77505"
Houston Optical,"2855 Gramercy St, Houston, TX 77025"
Houston Optical,"5420 Dashwood, Houston, TX 77081"
UNIQUE OPTICAL,"2431 BISSONNET ST, HOUSTON, TX 77005-1451"
Houston Optical,"2302 Avenue P, Galveston, TX 77550"
OPTICA HOUSTON #605,"5085 WESTHEIMER RD STE 2805, HOUSTON, TX 77056"
Houston Optical,"590 Chimney Rock, Houston, TX 77056"
Houston Optical,"915 Gessner, Houston, TX 77024"
Houston Optical,"1229 Campbell Road, Houston, TX 77055"
Houston Optical,"1415 North Loop, Houston, TX 77008"
Houston Optical,"5614 E Sam Houston Pkwy N, Houston, TX 77015"
NORDSTROM DC #799,"5497 NE 49TH AVE, GAINESVILLE, FL 32609"
MyEyeDr.,"2116 Hancock Drive, Austin, TX 78756"
MyEyeDr.,"11645 Angus Road, Austin, TX 78759"
MED-777,"11645 ANGUS RD BLDG A STE 5, AUSTIN, TX 78759-4020"
Houston Optical,"13414 Medical Complex Dr, Tomball, TX 77375"
Houston Optical,"1250 Cypress Station Dr, Houston, TX 77090"
Houston Optical,"22777 Springwoods Village Pkwy, Spring, TX 77389"
Houston Optical,"1699 Research Forest Dr, Shenandoah, TX 77380"
Houston Optical,"333 N. Rivershire Drive, Conroe, TX 77304"
Houston Optical,"22659 Hwy 59 N, Kingwood, TX 77339"
MyEyeDr.,"8040 St Charles Avenue, New Orleans, LA 70118"
MED-289,"8040 ST CHARLES AVE, NEW ORLEANS, LA 70118"
MyEyeDr.,"4004 Magazine St, New Orleans, LA 70115"
VISION OPTIQUE,"203 CARONDELET ST, NEW ORLEANS, LA 70130"
MyEyeDr.,"806 Riverside Ave, Jacksonville, FL 32204"
MED-216,"806 RIVERSIDE AVE STE 100, JACKSONVILLE, FL 32204"
MED-444,"2152 3RD ST S STE 60, JACKSONVILLE BEACH, FL 32250"
THE UNOPTICAL INC,"1010 UNIVERSITY AVE STE C109, SAN DIEGO, CA 92103-3353"
OPTICA FASHION VALLEY #601,"7007 FRIARS RD STE 667A, SAN DIEGO, CA 92108"
THE UNOPTICAL,"633 S COAST HWY 101, ENCINITAS, CA 92024"
MED-678,"3000 S HULEN ST STE 104, FORT WORTH, TX 76109"
MyEyeDr.,"3000 Hulen St., Fort Worth, TX 76109"
INSIGHT VISION CENTER,"2351 WEST LAMAR BLVD, ARLINGTON, TX 76012"
FASHION OPTICAL CORP,"3430 OAK LAWN AVE, DALLAS, TX 75219-4214"
OCCHIALI,"8304 PRESTON RD, DALLAS, TX 75225"
MED-677,"1247 MAIN ST, SOUTHLAKE, TX 76092"
MyEyeDr.,"1247 Main Street, Southlake, TX 76092"
"ROBERT M BIRENBAUM, OD PC","7500 WINDROSE AVE STE B180, PLANO, TX 75024"
Schaeffer Eye,"2550 Eastern Boulevard, Montgomery, AL 36117"
Schaeffer Eye,"24810 US-31, Jemison, AL 35085"
MED-393,"195 HWY 304, CALERA, AL 35040"
