Name,Address
OPPENHEIMER EYE CLINIC PLLC,"3306 N ROOSEVELT BLVD, KEY WEST, FL 33040"
SENIA BUSTILLO OD PA,"8765 S W 165TH AVE STE 107, MIAMI, FL 33193"
HAGEN EYE CARE,"12977 SW 112TH ST, MIAMI, FL 33186"
SAVITRI BADRI MAHARAJ,"12225 S W 128TH ST UNIT 104, MIAMI, FL 33186"
DR MARIO CARCAMO,"13852 SW 88TH ST, MIAMI, FL 33186"
"GARY P. GEGERSON, OD","12139 SOUTH DIXIE HWY, MIAMI, FL 33156"
C & K EYECARE,"11654 N KENDALL DR, MIAMI, FL 33176-1005"
JAMES SEGAL MD PA,"5858 SW 68TH ST, MIAMI, FL 33143"
ADOLFO TAPIA,"8260 SW 43RD TER, MIAMI, FL 33155-4217"
OPTICAL LOPEZ,"3025 CORAL WAY, Miami, FL 33145-3207"
WEST KENDALL EYE CARE,"14411 SW 42ND ST, MIAMI, FL 33175-7818"
CARTERS OPTICAL,"6703 NW 7TH ST  POS 3179, MIAMI, FL 33126"
JCA OPTICAL LTD,"6703 NW 7TH ST  POS #63488, MIAMI, FL 33126"
MIAMI DADE COMMUNITY COLLEGE,"950 NW 20TH ST RM 1101, MIAMI, FL 33127-4693"
CA PRESTIGE EYEWEAR,"2259 N W 20TH ST, MIAMI, FL 33142"
PEARLE VISION JAIRO STACIA,"7701 NW 15TH ST STE CW830131, MIAMI, FL 33106"
VISION EXPRESS CO LTD,"9515 NW 13TH ST, DORAL, FL 33172-3048"
SER CARGO EXPRESS,"1634 NW 82ND AVE, MIAMI, FL 33126"
FOCUS VISION,"8401 NW 17TH ST, DORAL, FL 33126-1005"
VISUAL EYES,"8401 NW 17TH ST, DORAL, FL 33191"
VISUAL EYES,"8401 NW 17TH STREET, MIAMI, FL 33191-1005"
OPTICAL OUTLOOK,"8401 NW 17TH ST, MIAMI, FL 33191"
ADRIANA TINEO,"1940 NW 82 AVE, DORAL, FL 33126"
MORRIS OPTICAL,"1 AEROPOST WAY KIN 12095, MIAMI, FL 33206"
KLY EYE CARE / YOURAINNE KELLY,"1 AEROPOST WAY AUA 8821, MIAMI, FL 33206"
OPTIEK NINON,"2000 NW 97TH AVE STE 114, MIAMI, FL 33172"
LABO VISION,"10900 NW 21ST ST UNIT 130, MIAMI, FL 33172"
WILLIAMS OPTICAL TBXX2556,"7801 NW 37TH ST, DORAL, FL 33195"
RASHMI MATHUR OPTICAL,"TBX9721, 7801 NW 37TH ST, DORAL, FL 33195"
TRANS-EXPRESS VIP SAL 6545,"7801 NW 37TH, MIAMI, FL 33166"
TRI 284,"7801 NW 37TH ST, MIAMI, FL 33166"
INFINITE EYES,"8900 NW 35TH LANE  UNIT 130 STE 952, DORAL, FL 33192"
COMPASS FREIGHT BROKERS,"8900 NW 35TH LN STE 140, DORAL, FL 33172"
SOCIAL EYES OPTICAL,"8900 NW 35TH LANE UNIT 130 STE 9888, MIAMI, FL 33172"
JCA OPTICAL,"10813 NW 30TH ST STE 115 WEB 69265, MIAMI, FL 33192"
SUMINISTROS OPTICOS DE EL SALVADOR,"2200 NW 129TH AVE STE 108, MIAMI, FL 33182"
KETAN PATEL,"10813 NW 30TH ST, MIAMI, FL 33172"
CAVALIER LOGISTICS,"13439 NW 19TH LN, MIAMI, FL 33182"
CONCEPTS IN FREIGHT INC,"10814 NW 33RD ST STE 115, MIAMI, FL 33172"
STARR VISION CENTER PLLC,"280 W 2ND ST, RIO GRANDE CITY, TX 78582"
PA SHAH EYE CENTER,"1506 E GRIFFIN PKWY, MISSION, TX 78572-2424"
CLEAR FOCUS VISION ASSOCIATES PA,"521 S 10TH ST, MCALLEN, TX 78501-4956"
FIONA KOLIA OD PA,"7400 N 10TH ST STE F, MCALLEN, TX 78504-7707"
VALLE VISTA OPTICAL,"2000 S EXPRESSWAY 83 STE F9, HARLINGEN, TX 78552"
EYEWEAR DESIGNS,"419 E 12TH ST, BROWNSVILLE, TX 78520-5015"
BARRERA EYE CENTER PLLC,"2485 HUDSON BLVD, BROWNSVILLE, TX 78526"
DRS DERY/EADS,"60 10TH ST N, NAPLES, FL 34102-6277"
BONITA STOCK ORDERS,"5335 AIRPORT PULLING RD N, NAPLES, FL 34109"
FRANTZ EYECARE,"2500 GOODLETTE-FRANK RD N, NAPLES, FL 34103-4608"
ROBERT I GUDA OPTICAL PA,"6376 PINE RIDGE RD STE 170, NAPLES, FL 34119"
AVE MARIA OPTICAL,"5068 ANNUNCIATION CIRCLE STE 108, AVE MARIA, FL 34142"
FRANTZ EYECARE,"12731 NEW BRITTANY BLVD, FORT MYERS, FL 33907-3632"
DOCTORS EYECARE CENTERS,"5995 S POINT BLVD STE 111, FORT MYERS, FL 33919"
FASHION EYES VISION CTR,"1850 BOY SCOUT DR STE 107, FORT MYERS, FL 33907"
CAPE CORAL STOCK ORDERS,"4790 BARKLEY CIR BLDG C STE103, FORT MYERS, FL 33907"
FRANTZ EYECARE,"3515 DEL PRADO BLVD S, CAPE CORAL, FL 33904"
ECOF-NORTH FORT MYERS,"2665 OAK RIDGE CT STE B, FORT MYERS, FL 33901"
ECOF - PORT CHARLOTTE,"2665 OAK RIDGE CT STE B, FORT MYERS, FL 33901-9389"
ECOF - LABELLE,"2665 OAK RIDGE CT  STE B, FORT MYERS, FL 33901"
DON WILLIAMSON OD,"3218 DEL PRADO BLVD S, CAPE CORAL, FL 33904"
FRANTZ EYECARE,"3020 LEE BLVD UNIT 12, LEHIGH ACRES, FL 33971-2438"
SHIPWIZE,"21052 SHERIDAN ST STE JM 9990, FORT LAUDERDALE, FL 33332"
VALUE OPTICAL- ID VALOPT,"10901 NW 146TH ST STE 8, HIALEAH GARDENS, FL 33018"
VISION UNLIMITED OF WESTON,"17120 ROYAL PALM BLVD STE 2, WESTON, FL 33326"
MICHELE MING,"2291 SW 164TH AVE, MIRAMAR, FL 33027"
CHARM EYEWEAR,"10760 NW 138 ST STE 5, HIALEAH GARDENS, FL 33018"
INTERPORT LOGISTICS LLC,"12950 NW 25TH ST, MIAMI, FL 33182"
EYE SURGERY ASSOCIATES-WESTON,"2300 N COMMERCE PKWY STE 307, WESTON, FL 33326-3256"
WESTON EYE CARE CENTER LLC,"4577 WESTON RD, WESTON, FL 33331"
