Name,Address
KEY WEST OPTICAL,"1444 KENNEDY DR, KEY WEST, FL 33040-4008"
OPPENHEIMER EYE CLINIC PLLC,"3306 N ROOSEVELT BLVD, KEY WEST, FL 33040"
KEYS EYE CARE,"3708 N ROOSEVELT BLVD, KEY WEST, FL 33040-4533"
OPTICAL SHOPPE,"2357 OVERSEAS HWY, MARATHON, FL 33050-2231"
JOHN SHELDON OD,"6400 OVERSEAS HWY, MARATHON, FL 33050-2786"
TROPICAL OPTICIANS,"81933 OVERSEAS HWY, ISLAMORADA, FL 33036"
LANDSAW OD PA,"91284 OVERSEAS HWY, TAVERNIER, FL 33070-2535"
JAMES J BOILINI OD,"99696 OVERSEAS HWY, KEY LARGO, FL 33037-2432"
PATRICK DEL VECCHIO PA,"28 N HOMESTEAD BLVD, HOMESTEAD, FL 33030"
DADE OPTICAL LABORATORY,"948 N KROME AVE, HOMESTEAD, FL 33030-4409"
Visionworks,"897 NE 8th St, Homestead, FL 33030"
SENIA BUSTILLO OD PA,"8765 S W 165TH AVE STE 107, MIAMI, FL 33193"
Visionworks,"13550 SW 120th St, Miami, FL 33186"
H & S OPTICAL,"18901 S DIXIE HWY STE 143-144, CUTLER BAY, FL 33157-7710"
EYEWEAR DISTRIBUTION,"9437 SW 143RD PL, MIAMI, FL 33186"
NEW VISION UNLIMITED,"12002 SW 128TH CT STE 102, MIAMI, FL 33186-4641"
HAGEN EYE CARE,"12977 SW 112TH ST, MIAMI, FL 33186"
SAVITRI BADRI MAHARAJ,"12225 S W 128TH ST UNIT 104, MIAMI, FL 33186"
DR MARIO CARCAMO,"13852 SW 88TH ST, MIAMI, FL 33186"
CJ HOLDING,"13676 N KENDALL DR, MIAMI, FL 33186"
LIANNE M PINO OD PA,"9000 SW 152ND ST STE 205, PALMETTO BAY, FL 33157-1942"
CLARIN EYECARE,"14429 S DIXIE HWY, MIAMI, FL 33176-7924"
Visionworks,"13601 S Dixie Hwy, Miami, FL 33176"
AVANTI GLOBAL TRADING,"10460 SW 139 ST, MIAMI, FL 33176"
MEDINA'S OPTICAL LLC,"8247 SW 124TH ST, MIAMI, FL 33156"
"GARY P. GEGERSON, OD","12139 SOUTH DIXIE HWY, MIAMI, FL 33156"
SPECS APPEAL,"11217 S DIXIE HWY, MIAMI, FL 33156-4443"
PINECREST VISION CT,"7880 SW 104 ST, MIAMI, FL 33156"
PAMELA MINKES OD PA,"11734 S W 104TH ST, MIAMI, FL 33186"
OPTICAL WORLD,"7535 N KENDALL DR STE 3140, MIAMI, FL 33156"
FAMILY EYECARE CENTER,"9065 SW 87TH AVE STE 107, MIAMI, FL 33176-2307"
DR PHILIP MARGOLESKY,"7535 N KENDALL DR STE 2240, MIAMI, FL 33156-7702"
JEROME HERNANDEZ OD INC,"8231 S DIXIE HWY, MIAMI, FL 33143"
SCHNEIDER EYE CENTER,"7450 SW 57TH AVE, SOUTH MIAMI, FL 33143"
IVANNA ESTRADA OD PA,"10521 N KENDALL DR E-103, MIAMI, FL 33176"
EYE CARE OPTICAL CENTER,"7300 SW 57TH AVE, SOUTH MIAMI, FL 33143-5312"
IDEAL OPTICIANS PA,"11130 SW 88TH  ST STE 102, MIAMI, FL 33176"
C & K EYECARE,"11654 N KENDALL DR, MIAMI, FL 33176-1005"
Visionworks,"11662 N Kendall Dr, Miami, FL 33176"
ADVANCED VISION CARE,"11605 N KENDALL DR, MIAMI, FL 33176"
JAMES SEGAL MD PA,"5858 SW 68TH ST, MIAMI, FL 33143"
KENDALL EYE INSTITUTE,"8501 SW 124 AVE STE 109, MIAMI, FL 33183"
SANCHEZ OPTICAL,"12859 SW 88TH ST, MIAMI, FL 33186"
WILLIAM YU PA,"9885 SW 72ND ST, MIAMI, FL 33173-4617"
ADOLFO TAPIA,"8260 SW 43RD TER, MIAMI, FL 33155-4217"
STARR VISION CENTER PLLC,"280 W 2ND ST, RIO GRANDE CITY, TX 78582"
FAMILY VISION CARE PA,"207 W PALMA VISTA DR STE I, PALMVIEW, TX 78572-2127"
PA SHAH EYE CENTER,"1506 E GRIFFIN PKWY, MISSION, TX 78572-2424"
Visionworks,"2200 S 10th St, McAllen, TX 78503"
20/20 VISION CARE,"1313 S 10TH ST, MCALLEN, TX 78501-5023"
HAMMOND VISION CENTER,"505 S BROADWAY ST, MCALLEN, TX 78501-4903"
SHANGRI-LA,"217 S MAIN ST, MCALLEN, TX 78501-4842"
CLEAR FOCUS VISION ASSOCIATES PA,"521 S 10TH ST, MCALLEN, TX 78501-4956"
ANTONIO RAMIREZ OD,"4013 N 23RD ST STE A, MCALLEN, TX 78504"
FAMILY VISION,"900 W SAM HOUSTON BLVD STE 5, PHARR, TX 78577-5215"
"DIANA FUENTES, OD","5233 N 23RD ST, MCALLEN, TX 78504-4010"
Visionworks,"4000 N 10th St, McAllen, TX 78504"
OPTICAL ILLUSION,"423 W NOLANA AVE, MCALLEN, TX 78504"
"VANESSA CHANG, OD","318 W NOLANA AVE, MCALLEN, TX 78504-2528"
LANDON L LISKA OD,"5801 N 10TH ST STE 200, MCALLEN, TX 78504-2601"
"ROBERTO OLIVAREZ JR, OD","6900 N 10TH ST STE 5, MCALLEN, TX 78504-3151"
FIONA KOLIA OD PA,"7400 N 10TH ST STE F, MCALLEN, TX 78504-7707"
DR LUIS NAVARRO PLLC,"2301 S US HIGHWAY 281, EDINBURG, TX 78539-3712"
HAMMOND VISION CENTER,"2506 E RICHARDSON RD, EDINBURG, TX 78542"
GUILLEN EYECARE PLLC,"301 N SALINAS BLVD, DONNA, TX 78537"
Visionworks,"2000 S Expressway, Harlingen, TX 78552"
VALLE VISTA OPTICAL,"2000 S EXPRESSWAY 83 STE F9, HARLINGEN, TX 78552"
RGV OPTICAL IMAGES LLC,"1205 ED CAREY DR   PO BOX 531848, HARLINGEN, TX 78550"
SAN BENITO VISION SOURCE,"801 N SAM HOUSTON BLVD, SAN BENITO, TX 78586"
VISION EYECARE CLINIC,"780 EAST BUSINESS 77, SAN BENITO, TX 78586"
THURMOND EYE - RIO,"1519 E 6TH ST, WESLACO, TX 78596-6605"
THURMOND EYE ASSOC - EDINBURG,"1519 E 6TH ST, WESLACO, TX 78596"
WESLACO VISION SOURCE,"415 S AIRPORT DR STE H, WESLACO, TX 78596-5396"
Visionworks,"601 E Expressway 83, Weslaco, TX 78596"
"JAMES ROWE, OD","2405 N ED CARY DR, HARLINGEN, TX 78550-8221"
Visionworks,"2370 N Expressway, Brownsville, TX 78526"
SUNGLASS FORUM,"2370 N EXPRESSWAY STE 1168, BROWNSVILLE, TX 78521-1247"
EYEWEAR DESIGNS,"419 E 12TH ST, BROWNSVILLE, TX 78520-5015"
BROWNSVILLE EYE CENTER,"2200 BOCA CHICA BLVD STE 106, BROWNSVILLE, TX 78521-2241"
LOS FRESNOS EYE CLINC &,"810 W OCEAN BLVD STE C2, LOS FRESNOS, TX 78566-3644"
BARRERA EYE CENTER PLLC,"2485 HUDSON BLVD, BROWNSVILLE, TX 78526"
"RICARDO GONZALEZ, OD","609 E HIGHWAY 107  PO BOX 1137, ELSA, TX 78543"
DRS. M & S MADISON,"914 PARK AVE, MARCO ISLAND, FL 34145-2751"
DRS DERY/EADS,"60 10TH ST N, NAPLES, FL 34102-6277"
BONITA STOCK ORDERS,"5335 AIRPORT PULLING RD N, NAPLES, FL 34109"
NAPLES EYE PHYSICIANS OPTICAL,"661 GOODLETTE RD N STE 105, NAPLES, FL 34102-5609"
NAPLES OPTICAL CENTER,"728 TAMIAMI TRL N, NAPLES, FL 34102-8134"
FRANTZ EYECARE,"7075 RADIO RD, NAPLES, FL 34104"
Visionworks,"2190 9th St N, Naples, FL 34102"
FRANTZ EYECARE,"2500 GOODLETTE-FRANK RD N, NAPLES, FL 34103-4608"
OPTICAL DEPT OF NAPLES,"3880 TAMIAMI TRAIL N, NAPLES, FL 34103"
TERRY R VAN DER HEYDEN OD,"4060 TAMIAMI TRL N STE 4, NAPLES, FL 34103-3596"
CENTER FOR SIGHT - NAPLES,"700 NEAPOLITAN WAY, NAPLES, FL 34103"
VAN BUSKIRK OPT,"798 NEAPOLITAN WAY, NAPLES, FL 34103-8504"
EYE PHYSICIANS & SURGEONS,"5335 AIRPORT PULLING RD N, NAPLES, FL 34109-2011"
ROBERT I GUDA OPTICAL PA,"6376 PINE RIDGE RD STE 170, NAPLES, FL 34119"
NAPLES OPTICAL TOO,"5959 PINE RIDGE RD, NAPLES, FL 34119"
EYE ASSOCIATES OF SOUTHWEST FLORIDA,"7955 AIRPORT RD N STE 104, NAPLES, FL 34109-1794"
Visionworks,"10600 Tamiami Trail N, Naples, FL 34108"
JEFFERY L ZIMM MD,"1435 IMMOKALEE RD, NAPLES, FL 34110-1401"
SOUTHWEST FLORIDA EYECARE LLC,"11176 TAMIAMI TRL N, NAPLES, FL 34110"
JONATHAN M FRANTZ MD PA,"1201 PIPER BLVD #22, NAPLES, FL 34110"
PEARLE,"COASTLAND CENTER MALL, NAPLES, FL 34102"
ELOQUENT EYES LLC,"15495 TAMIAMI TRL N STE 124, NAPLES, FL 34110-6210"
GRESHAM III OD. TRAVIS A,"25225 CHAMBER OF COMMERCE DR, BONITA SPRINGS, FL 34135"
AVE MARIA OPTICAL,"5068 ANNUNCIATION CIRCLE STE 108, AVE MARIA, FL 34142"
CENTER FOR SIGHT- VALENTINE,"16970 SAN CARLOS BLVD 105, FORT MYERS, FL 33908-1225"
CENTER FOR SIGHT SAN CARLOS,"15661 SAN CARLOS BLVD STE 4, FORT MYERS, FL 33908"
BRENDA C HART OD,"14290 METROPOLIS AVE STE 2, FORT MYERS, FL 33912"
ALL SAINTS EYE CENTER,"6150 DIAMOND CENTER CT BLDG 900, FORT MYERS, FL 33912"
MICHAEL J COLLINS,"6900 INTERNATIONAL CENTER BLVD, FORT MYERS, FL 33912"
SOUTHWEST FLORIDA EYE CARE LLC,"6850 INTERNATIONAL CENTER BLVD, FORT MYERS, FL 33912-4346"
DR TREVOR ELMQUIST,"7970 SUMMERLIN LAKES DR STE 200, FORT MYERS, FL 33907-3650"
FRANTZ EYECARE,"12731 NEW BRITTANY BLVD, FORT MYERS, FL 33907-3632"
FORT MYERS EYE ASSOCIATES,"8801 COLLEGE PKWY STE 3, FORT MYERS, FL 33919-4882"
CENTER FOR SIGHT FT MEYERS,"1537 BRANTLEY RD UNIT A2, FORT MYERS, FL 33907-3923"
DOCTORS EYECARE CENTERS,"5995 S POINT BLVD STE 111, FORT MYERS, FL 33919"
GOROVOY MD EYE SPECIALIST,"12381 S CLEVELAND AVE STE 300, FORT MYERS, FL 33907-3852"
Visionworks,"12320 S Cleveland Ave, Fort Meyers, FL 33907"
FASHION EYES VISION CTR,"1850 BOY SCOUT DR STE 107, FORT MYERS, FL 33907"
GRANT EYEGLASSES INC,"5248 BANK ST, FORT MYERS, FL 33907-2111"
SHIPWIZE,"21052 SHERIDAN ST STE JM 9990, FORT LAUDERDALE, FL 33332"
DOC VISION EYE CARE CENTER LLC,"19421 SHERIDAN ST, FORT LAUDERDALE, FL 33332"
KENNEDY VISION PA,"18503 PINES BLVD STE 205, PEMBROKE PINES, FL 33029"
PEDIATRIC EYE ASSOCIATES INC,"17901 N W 5TH ST STE 204, PEMBROKE PINES, FL 33029"
BETANCOURT MCIVER ODS,"17782 SW 2ND ST, PEMBROKE PINES, FL 33029-3923"
URBAN EYEWEAR DESIGN,"4526 SW 179TH WAY, MIRAMAR, FL 33029"
GOLDEN BLUE VISION LLC,"17117 SW 33 COURT, MIRAMAR, FL 33027"
"DEBORAH C WESTON, OD","1673 MARKET ST, WESTON, FL 33326-3663"
VALUE OPTICAL- ID VALOPT,"10901 NW 146TH ST STE 8, HIALEAH GARDENS, FL 33018"
CAVALIER LOGISTICS,"13439 NW 19TH LN, MIAMI, FL 33182"
NEW VISION UNLIMITED,"1102 NW 136TH PL, MIAMI, FL 33182"
VISION CENTER,"11401 NW 107TH ST STE 200, MIAMI, FL 33178"
VISION UNLIMITED OF WESTON,"17120 ROYAL PALM BLVD STE 2, WESTON, FL 33326"
MICHELE MING,"2291 SW 164TH AVE, MIRAMAR, FL 33027"
CHARM EYEWEAR,"10760 NW 138 ST STE 5, HIALEAH GARDENS, FL 33018"
INTERPORT LOGISTICS LLC,"12950 NW 25TH ST, MIAMI, FL 33182"
SUMINISTROS OPTICOS DE EL SALVADOR,"2200 NW 129TH AVE STE 108, MIAMI, FL 33182"
PROVISION EYECARE CENTER,"16359 MIRAMAR PKWY, MIRAMAR, FL 33027"
EYE SURGERY ASSOCIATES-WESTON,"2300 N COMMERCE PKWY STE 307, WESTON, FL 33326-3256"
WESTON EYE CARE CENTER,"4577 WESTON RD, WESTON, FL 33331"
MIRVISION,"2909 SW 160TH AVE, MIRAMAR, FL 33027-4212"
TRUE VIEW OPTICS INC,"1461 SW 159TH AVE, PEMBROKE PINES, FL 33027"
OCL /EN STEPHANIE THIEL ANA,"10301 NW 108TH AVEÂ  STE  6, MEDLEY, FL 33178"
ARUBA VISION CENTER,"10301 N W 108TH AVE, MEDLEY, FL 33178"
AMANDIP SINGH SAPPAL OD PA,"15651 SHERIDAN ST STE 1000, DAVIE, FL 33331-3492"
WEST KENDALL EYE CARE,"14411 SW 42ND ST, MIAMI, FL 33175-7818"
SUPER OPTICIAN,"9505 NW 108TH AVENUE, MEDLEY, FL 33178"
MENS CORNER,"9505 N W 108TH AVE, MEDLEY, FL 33178"
INTERNATIONAL CARGO CONSOLIDATORS,"11700 NW 101ST RD STE 8, MEDLEY, FL 33178"
REAL VISION CENTER,"14934 PINES BLVD STE 125, PEMBROKE PINES, FL 33027"
EYE CENTER OF SOUTH FLORIDA,"1951 NW 150TH AVE STE B102, PEMBROKE PINES, FL 33028-2875"
ROUSE FAMILY EYECARE,"15916 W STATE RD 84, SUNRISE, FL 33326-1233"
REGENCY OPTICAL,"4975 SW 148TH AVE, DAVIE, FL 33330"
MY EYE DOCTOR INC,"18600 N W 87TH AVE STE 124, MIAMI GARDENS, FL 33015"
CONCEPTS IN FREIGHT INC,"10814 NW 33RD ST STE 115, MIAMI, FL 33172"
ADRIAN DEAN,"10813 NW 30TH ST STE 115 WEB 19408, MIAMI, FL 33192"
KETAN PATEL,"10813 NW 30TH ST, MIAMI, FL 33172"
VISION PLUS OPTICAL QM 212,"5877 SW 21ST STREET, WEST PARK, FL 33023-3008"
ROSEMARY LEE YAP/ OPTICAL OUTLET,"2201 SW 59TH TERRACE GCS01724, WEST PARK, FL 33023"
HOLLYWOOD OPHTHALMOLOGY,"3816 HOLLYWOOD BLVD STE 101, HOLLYWOOD, FL 33021"
EYE LOOKS,"6850 MIRAMAR PKWY, MIRAMAR, FL 33023-6003"
PRESIDENTIAL OPTICAL-HOLLYWOOD,"300 S PARK RD STE 300, HOLLYWOOD, FL 33021-8353"
JAMES M BERANEK OD PA,"3277 HOLLYWOOD BLVD, HOLLYWOOD, FL 33021-6906"
IVES FAMILY EYECARE,"1031 IVES DAIRY RD STE 133, NORTH MIAMI BEACH, FL 33179"
IVES FAMILY EYECARE,"1031 IVES DAIRY RD STE 133, NORTH MIAMI BEACH, FL 33179-2538"
ABITA EYE GROUP,"4330 SHERIDAN ST STE 102, HOLLYWOOD, FL 33021"
DR CONNIE S CHIANG,"7867 PINES BLVD, PEMBROKE PINES, FL 33024-6916"
