Name,Address
KEY WEST OPTICAL,"1444 KENNEDY DR, KEY WEST, FL 33040-4008"
OPPENHEIMER EYE CLINIC PLLC,"3306 N ROOSEVELT BLVD, KEY WEST, FL 33040"
DADE OPTICAL LABORATORY,"948 N KROME AVE, HOMESTEAD, FL 33030-4409"
SENIA BUSTILLO OD PA,"8765 S W 165TH AVE STE 107, MIAMI, FL 33193"
H & S OPTICAL,"18901 S DIXIE HWY STE 143-144, CUTLER BAY, FL 33157-7710"
EYEWEAR DISTRIBUTION,"9437 SW 143RD PL, MIAMI, FL 33186"
HAGEN EYE CARE,"12977 SW 112TH ST, MIAMI, FL 33186"
SAVITRI BADRI MAHARAJ,"12225 S W 128TH ST UNIT 104, MIAMI, FL 33186"
DR MARIO CARCAMO,"13852 SW 88TH ST, MIAMI, FL 33186"
CJ HOLDING,"13676 N KENDALL DR, MIAMI, FL 33186"
LIANNE M PINO OD PA,"9000 SW 152ND ST STE 205, PALMETTO BAY, FL 33157-1942"
CLARIN EYECARE,"14429 S DIXIE HWY, MIAMI, FL 33176-7924"
AVANTI GLOBAL TRADING,"10460 SW 139 ST, MIAMI, FL 33176"
SPECS APPEAL,"11217 S DIXIE HWY, MIAMI, FL 33156-4443"
PINECREST VISION CT,"7880 SW 104 ST, MIAMI, FL 33156"
PAMELA MINKES OD PA,"11734 S W 104TH ST, MIAMI, FL 33186"
OPTICAL WORLD,"7535 N KENDALL DR STE 3140, MIAMI, FL 33156"
DR PHILIP MARGOLESKY,"7535 N KENDALL DR STE 2240, MIAMI, FL 33156-7702"
SCHNEIDER EYE CENTER,"7450 SW 57TH AVE, SOUTH MIAMI, FL 33143"
EYE CARE OPTICAL CENTER,"7300 SW 57TH AVE, SOUTH MIAMI, FL 33143-5312"
C & K EYECARE,"11654 N KENDALL DR, MIAMI, FL 33176-1005"
JAMES SEGAL MD PA,"5858 SW 68TH ST, MIAMI, FL 33143"
KENDALL EYE INSTITUTE,"8501 SW 124 AVE STE 109, MIAMI, FL 33183"
SANCHEZ OPTICAL,"12859 SW 88TH ST, MIAMI, FL 33186"
ADOLFO TAPIA,"8260 SW 43RD TER, MIAMI, FL 33155-4217"
ABC OPTOMETRY INC,"8748 BIRD RD, MIAMI, FL 33165"
OPTIWOW,"3200 SW 60TH CT STE 103, MIAMI, FL 33155-4069"
MICHAEL OBREGON OD PA,"2726 PONCE DE LEON BLVD, CORAL GABLES, FL 33134-6005"
INTERNATIONAL OPT(2635),"2264 CORAL WAY, CORAL GABLES, FL 33145-3509"
OPTICAL LOPEZ,"3025 CORAL WAY, Miami, FL 33145-3207"
CLARIN EYECARE,"58 MIRACLE MILE, CORAL GABLES, FL 33134"
L GONZALEZ OD PA,"11760 SW 40TH ST STE 101, MIAMI, FL 33175-3530"
RICHARD PADRON OD PA,"2200 SW 16TH ST STE 204, MIAMI, FL 33145"
SUAREZ OPTICAL INC,"8100 SW 24TH ST, MIAMI, FL 33155-1227"
ROTH EYE CARE,"136 NE 2ND AVE, MIAMI, FL 33132-2509"
DR LIANETTE LARIA PA,"8220 W FLAGLER ST, MIAMI, FL 33144-2028"
"C JUSTIN HOLCOMB, OD LLC","8410 W FLAGLER ST STE 201, MIAMI, FL 33144"
STAR OPTICAL LLC,"930 WASHINGTON AVE 5TH FL, MIAMI BEACH, FL 33139"
CARTERS OPTICAL,"6703 NW 7TH ST  POS 3179, MIAMI, FL 33126"
JCA OPTICAL LTD,"6703 NW 7TH ST  POS #63488, MIAMI, FL 33126"
OPTICAL DEPARTMENT MIAMI,"900 NW 17TH ST 1ST FL, MIAMI, FL 33136"
BARIMODA INC,"1800 N BAYSHORE DR APT 3314, MIAMI, FL 33132"
PA SHAH EYE CENTER,"1506 E GRIFFIN PKWY, MISSION, TX 78572-2424"
SHANGRI-LA,"217 S MAIN ST, MCALLEN, TX 78501-4842"
CLEAR FOCUS VISION ASSOCIATES PA,"521 S 10TH ST, MCALLEN, TX 78501-4956"
ANTONIO RAMIREZ OD,"4013 N 23RD ST STE A, MCALLEN, TX 78504"
FAMILY VISION,"900 W SAM HOUSTON BLVD STE 5, PHARR, TX 78577-5215"
"DIANA FUENTES, OD","5233 N 23RD ST, MCALLEN, TX 78504-4010"
OPTICAL ILLUSION,"423 W NOLANA AVE, MCALLEN, TX 78504"
"VANESSA CHANG, OD","318 W NOLANA AVE, MCALLEN, TX 78504-2528"
LANDON L LISKA OD,"5801 N 10TH ST STE 200, MCALLEN, TX 78504-2601"
"ROBERTO OLIVAREZ JR, OD","6900 N 10TH ST STE 5, MCALLEN, TX 78504-3151"
DR LUIS NAVARRO PLLC,"2301 S US HIGHWAY 281, EDINBURG, TX 78539-3712"
GUILLEN EYECARE PLLC,"301 N SALINAS BLVD, DONNA, TX 78537"
THURMOND EYE ASSOC - MCALLEN,"1519 E 6TH ST, WESLACO, TX 78596-6605"
THURMOND EYE ASSOC - EDINBURG,"1519 E 6TH ST, WESLACO, TX 78596"
VALLE VISTA OPTICAL,"2000 S EXPRESSWAY 83 STE F9, HARLINGEN, TX 78552"
SAN BENITO VISION SOURCE,"801 N SAM HOUSTON BLVD, SAN BENITO, TX 78586"
VISION EYECARE CLINIC,"780 EAST BUSINESS 77, SAN BENITO, TX 78586"
WESLACO VISION SOURCE,"415 S AIRPORT DR STE H, WESLACO, TX 78596-5396"
"JAMES ROWE, OD","2405 N ED CARY DR, HARLINGEN, TX 78550-8221"
EYEWEAR DESIGNS,"419 E 12TH ST, BROWNSVILLE, TX 78520-5015"
BROWNSVILLE EYE CENTER,"2200 BOCA CHICA BLVD STE 106, BROWNSVILLE, TX 78521-2241"
LOS FRESNOS EYE CLINC &,"810 W OCEAN BLVD STE C2, LOS FRESNOS, TX 78566-3644"
BARRERA EYE CENTER PLLC,"2485 HUDSON BLVD, BROWNSVILLE, TX 78526"
OPTICAL DEPT OF NAPLES,"3880 TAMIAMI TRAIL N, NAPLES, FL 34103"
EYE PHYSICIANS & SURGEONS,"5335 AIRPORT PULLING RD N, NAPLES, FL 34109-2011"
SOUTHWEST FLORIDA EYECARE LLC,"11176 TAMIAMI TRL N, NAPLES, FL 34110"
JONATHAN M FRANTZ MD PA,"1201 PIPER BLVD #22, NAPLES, FL 34110"
PEARLE,"COASTLAND CENTER MALL, NAPLES, FL 34102"
ELOQUENT EYES LLC,"15495 TAMIAMI TRL N STE 124, NAPLES, FL 34110-6210"
AVE MARIA OPTICAL,"5068 ANNUNCIATION CIRCLE STE 108, AVE MARIA, FL 34142"
CENTER FOR SIGHT- VALENTINE,"16970 SAN CARLOS BLVD 105, FORT MYERS, FL 33908-1225"
FORT MYERS EYE ASSOCIATES,"8801 COLLEGE PKWY STE 3, FORT MYERS, FL 33919-4882"
DOCTORS EYECARE CENTERS,"5995 S POINT BLVD STE 111, FORT MYERS, FL 33919"
FASHION EYES VISION CTR,"1850 BOY SCOUT DR STE 107, FORT MYERS, FL 33907"
EYE PHYSICIANS & SURGEONS OF FL PA,"4790 BARKLEY CIR BLDG C STE 103, FORT MYERS, FL 33907-3625"
ECOF - CAPE CORAL,"2665 OAK RIDGE CT STE B, FORT MYERS, FL 33901-9389"
ECOF-NORTH FORT MYERS,"2665 OAK RIDGE CT STE B, FORT MYERS, FL 33901"
ECOF - LABELLE,"2665 OAK RIDGE CT  STE B, FORT MYERS, FL 33901"
DON WILLIAMSON OD,"3218 DEL PRADO BLVD S, CAPE CORAL, FL 33904"
WEST FLORIDA EYE INC,"2814 LEE BLVD STE 3, LEHIGH ACRES, FL 33971-1561"
SOUTHWEST FLORIDA EYECARE,"2221 SANTA BARBARA BLVD   STE 107, CAPE CORAL, FL 33991"
SHIPWIZE,"21052 SHERIDAN ST STE JM 9990, FORT LAUDERDALE, FL 33332"
DOC VISION EYE CARE CENTER LLC,"19421 SHERIDAN ST, FORT LAUDERDALE, FL 33332"
KENNEDY VISION PA,"18503 PINES BLVD STE 205, PEMBROKE PINES, FL 33029"
PEDIATRIC EYE ASSOCIATES INC,"17901 N W 5TH ST STE 204, PEMBROKE PINES, FL 33029"
BETANCOURT MCIVER ODS,"17782 SW 2ND ST, PEMBROKE PINES, FL 33029-3923"
"DEBORAH C WESTON, OD","1673 MARKET ST, WESTON, FL 33326-3663"
VALUE OPTICAL- ID VALOPT,"10901 NW 146TH ST STE 8, HIALEAH GARDENS, FL 33018"
CAVALIER LOGISTICS,"13439 NW 19TH LN, MIAMI, FL 33182"
NEW VISION UNLIMITED,"1102 NW 136TH PL, MIAMI, FL 33182"
VISION UNLIMITED OF WESTON,"17120 ROYAL PALM BLVD STE 2, WESTON, FL 33326"
MICHELE MING,"2291 SW 164TH AVE, MIRAMAR, FL 33027"
CHARM EYEWEAR,"10760 NW 138 ST STE 5, HIALEAH GARDENS, FL 33018"
INTERPORT LOGISTICS LLC,"12950 NW 25TH ST, MIAMI, FL 33182"
SUMINISTROS OPTICOS DE EL SALVADOR,"2200 NW 129TH AVE STE 108, MIAMI, FL 33182"
PROVISION EYECARE CENTER,"16359 MIRAMAR PKWY, MIRAMAR, FL 33027"
EYE SURGERY ASSOCIATES-WESTON,"2300 N COMMERCE PKWY STE 307, WESTON, FL 33326-3256"
MIRVISION,"2909 SW 160TH AVE, MIRAMAR, FL 33027-4212"
WESTON EYE CARE CENTER,"4577 WESTON RD, WESTON, FL 33331"
ARUBA VISION CENTER,"10301 N W 108TH AVE, MEDLEY, FL 33178"
OCL /EN STEPHANIE THIEL ANA,"10301 NW 108TH AVEÂ  STE  6, MEDLEY, FL 33178"
SUPER OPTICIAN,"9505 NW 108TH AVENUE, MEDLEY, FL 33178"
MENS CORNER,"9505 N W 108TH AVE, MEDLEY, FL 33178"
INTERNATIONAL CARGO CONSOLIDATORS,"11700 NW 101ST RD STE 8, MEDLEY, FL 33178"
REAL VISION CENTER,"14934 PINES BLVD STE 125, PEMBROKE PINES, FL 33027"
EYE CENTER OF SOUTH FLORIDA,"1951 NW 150TH AVE STE B102, PEMBROKE PINES, FL 33028-2875"
ROUSE FAMILY EYECARE,"15916 W STATE RD 84, SUNRISE, FL 33326-1233"
MY EYE DOCTOR INC,"18600 N W 87TH AVE STE 124, MIAMI GARDENS, FL 33015"
CONCEPTS IN FREIGHT INC,"10814 NW 33RD ST STE 115, MIAMI, FL 33172"
KETAN PATEL,"10813 NW 30TH ST, MIAMI, FL 33172"
JCA OPTICAL,"10813 NW 30TH ST STE 115 WEB 69265, MIAMI, FL 33192"
PAS CARGO USA,"10901 NW 146TH ST UNIT 8, MIAMI LAKES, FL 33018"
LABO VISION,"10900 NW 21ST ST UNIT 130, MIAMI, FL 33172"
EYES ON THE JOB PLLC,"10676 NW 19TH ST, MIAMI, FL 33172"
GLOBAL EYES,"10302 NW SOUTH RIVER DR UNIT 21, MEDLEY, FL 33178"
GIANNIE CASTELLANOS,"8060 NW 155 ST  STE 201, MIAMI LAKES, FL 33016"
VISION PLUS OPTICAL QM 212,"5877 SW 21ST STREET, WEST PARK, FL 33023-3008"
HOLLYWOOD OPHTHALMOLOGY,"3816 HOLLYWOOD BLVD STE 101, HOLLYWOOD, FL 33021"
EYE LOOKS,"6850 MIRAMAR PKWY, MIRAMAR, FL 33023-6003"
PRESIDENTIAL OPTICAL-HOLLYWOOD,"300 S PARK RD STE 300, HOLLYWOOD, FL 33021-8353"
JAMES M BERANEK OD PA,"3277 HOLLYWOOD BLVD, HOLLYWOOD, FL 33021-6906"
ABITA EYE GROUP,"4330 SHERIDAN ST STE 102, HOLLYWOOD, FL 33021"
LINDSAY INTERNATIONAL,"20340 NE 15TH CT UNIT 150C, NORTH MIAMI BEACH, FL 33179-2716"
JUSTINE CHEN O.D.,"3339 SHERIDAN ST, HOLLYWOOD, FL 33021-3606"
HEIDEN & HEIDEN PC,"2019 HOLLYWOOD BLVD, HOLLYWOOD, FL 33020-4509"
BARRY M KAY OD,"2011 HARRISON ST, HOLLYWOOD, FL 33020-5019"
ROBERT DAVIS OD,"1732 N UNIVERSITY DR, PEMBROKE PINES, FL 33024-3602"
ADVANCED VISION CARE,"2873 STIRLING RD, FORT LAUDERDALE, FL 33312-6516"
KATHRYN A ESTEVEZ OD LLC,"6795 STIRLING RD, DAVIE, FL 33314"
OPTICAL WORLD,"19575 BISCAYNE BLVD #579, AVENTURA, FL 33180"
FIFTY PERCENT EYEWEAR,"1715 E HALLANDALE BEACH BLVD, HALLANDALE BEACH, FL 33009-4621"
MIAMI GARDEN EYE CARE,"18383 NW 27TH AVE, MIAMI GARDENS, FL 33056"
DR ROBERT JACOBS PA,"599 S FEDERAL HWY, DANIA BEACH, FL 33004-4174"
HOLLYWOOD EYE INSTITUTE PA,"9999 SHERIDAN ST STE 100, COOPER CITY, FL 33024"
EYE Q OPTICAL,"2295 NE 164TH STREET, NORTH MIAMI BEACH, FL 33160"
DR WAFA ABDULRAZZAQ PA,"9620 STIRLING RD STE 105, COOPER CITY, FL 33024"
DR MARIA CORDOVA,"2605 N HIATUS RD, COOPER CITY, FL 33026-1303"
BELL VISION CENTER INC,"14030 W DIXIE HWY, NORTH MIAMI, FL 33161-3443"
NOVA SOUTHEASTERN,"3200 S UNIVERSITY DR, FORT LAUDERDALE, FL 33328"
EYE SURGERY ASSOC-PEMBROKE PINES,"603 N FLAMINGO RD STE 250, PEMBROKE PINES, FL 33028-1013"
JAIME A BALAGUER JR OD PA,"1770 NW 122 TERRACE, PEMBROKE PINES, FL 33026"
ASH EYE INSTITUTE,"701 SE 32ND CT  UNIT 106, FORT LAUDERDALE, FL 33316-4122"
MD COMMERCE LLC,"5858 MIAMI LAKES DR, MIAMI LAKES, FL 33014"
CLEARSIGHT SOUTH OPT,"1378 SE 17TH ST, FORT LAUDERDALE, FL 33316-1726"
JONATHAN GORDON OD,"4320 W BROWARD BLVD STE 2, PLANTATION, FL 33317"
DR STEVE T BUSSA OD PLLC,"7045 W BROWARD BLVD, PLANTATION, FL 33317-2205"
COHENS FASHION OPT #36,"8000 W BROWARD BLVD STE 135, PLANTATION, FL 33388"
PREMIER EYE GROUP INC,"7480 FAIRWAY DR STE 105, MIAMI LAKES, FL 33014"
BITA EYECARE INC,"301 NW 84 AVE STE 205, PLANTATION, FL 33324"
EXPRESS VISION CARE INC,"1550 W 84 ST STE 15, HIALEAH, FL 33014"
NICHOLAS RASHID OD,"2583 E SUNRISE BLVD, FORT LAUDERDALE, FL 33304-3203"
CAPPUCCIO ENTERPRISES INC,"2140 E OAKLAND PARK BLVD, FORT LAUDERDALE, FL 33306-1109"
NOEL ELGUT MD,"6333 N FEDERAL HWY STE 401, FORT LAUDERDALE, FL 33308"
OPHTHALMOLOGY ASSOCIATES LLC,"2334 NE 53RD ST, FORT LAUDERDALE, FL 33308-3212"
ROBIN G SHORROCK OD,"211 S FEDERAL HWY, POMPANO BEACH, FL 33062-5322"
FAMILY VISION INSTITUTE,"640 N FEDERAL HWY, FORT LAUDERDALE, FL 33304"
BEACH EYEGLASS EMPORIUM,"552 ARTHUR GODFREY RD, MIAMI BEACH, FL 33140-3510"
ROBERTS OPTICAL,"23 NE 44TH ST, OAKLAND PARK, FL 33334-1437"
ROTH EYE CARE PC,"1000 17TH ST UNIT 1C, MIAMI BEACH, FL 33139"
BAHAMAS VISION CENTRE,"960 NW 53RD ST, FORT LAUDERDALE, FL 33309-3105"
BOCA FAMILY EYECARE,"1001 SW 2ND AVE STE 4000, BOCA RATON, FL 33432"
