Name,Address
BEYOND VISION,"5115 DISBROW CT, LINCOLN, NEBRASKA 68516"
HOWARD'S OPTIQUE,"2000 NORTH ROCK ROAD<BR> SUITE 110, WICHITA, KANSAS 67206"
EXCLUSIVELY EYECARE,"13104 W. DODGE ROAD, OMAHA, NEBRASKA 68154"
ROBERT MAX OPTICIANS,"8730 PACIFIC STREET, OMAHA, NEBRASKA 68114"
FAIRWAY EYE CENTER,"3414 SHAWNEE MISSION PARKWAY, FAIRWAY, KANSAS 66205"
EYE STYLE OPTICS,"4050 INDIAN CREEK PARKWAY, OVERLAND PARK, KANSAS 66207"
EYE STYLE OPTICS PRAIRIE FIRE,"5621 W 135TH ST - SUITE 2650, OVERLAND, KANSAS 66223"
OPTICAL INNOVATIONS,"107 WEST 63RD STREET, KANSAS CITY, MISSOURI 64113"
RUSS' UPTOWN OPTICAL,"4122 UNIVERSITY AVENUE, DES MOINES, IOWA 50311"
FAMILY EYEWEAR,"1212 PLEASANT STREET  SUITE #101, DES MOINES, IOWA 50309"
BLACK OPTICAL,"3524D SOUTH PEORIA AVE, TULSA, FLORIDA 33143"
TWENTY TWENTY EYECARE,"7408 S. YALE AVE, TULSA, OKLAHOMA 74136"
VISION EYE CENTER - TULSA,"6837 MEMORIAL DRIVE, TULSA, OKLAHOMA 74133"
BLACK OPTICAL,"5820 N. CLASSEN BLVD # 2, OKLAHOMA CITY, OKLAHOMA 73118"
DICK STORY OPTICAL,"5631 N. PENN, OKLAHOMA, OKLAHOMA 73112"
VISION CARE SPECIALISTS,"6160 SOUTH SYRACUSE WAY<BR> SUITE 150, GREENWOOD VILLAGE, COLORADO 80111"
IN VISION EYE CARE CENTER,"30 E. SOUTHHAMPTON DR. STE 109, COLUMBIA, MISSOURI 65203"
WINK OPTICAL,"3301 30TH ST, BOULDER, COLORADO 80301"
ENVISION BOULDER,"1011 PEARL STREET, BOULDER, COLORADO 80302"
REED M BOUCHEY MD,"501 S. WHITE STREET, MOUNT PLEASANT, IOWA 52641"
THE EYE GROUP,"2401 S. WALDRON ROAD, FT. SMITH, ARKANSAS 72903"
CLARKE EYECARE CENTER,"4314 KEMP BLVD, WICHITA FALLS, TEXAS 76308"
EYE PIECES OF VAIL,"122 E. MEADOW RD. #D-1, VAIL, COLORADO 81657"
"EYE Q, INTELLIGENT EYEWEAR","20 2ND AVE SW, ROCHESTER, MINNESOTA 55902"
INVISION OPTICAL LLC - GALLERIA,"3380 GALLERIA, EDINA, MINNESOTA 55435"
MORGENTHAL FREDERICS,"533 E. COOPER, ASPEN, COLORADO 81611"
INVISION OPTICAL LLC - MINNETONKA,"11300 WAYZATA BLVD, MINNETONKA, MINNESOTA 55305"
INVISION OPTICAL LLC - NOLO,"219 NORTH 2ND STREET, # 160, MINNEAPOLIS, MINNESOTA 55401"
THE EYE BAR - CLAYTON,"169 CARONDELET, CLAYTON, MISSOURI 63105"
INVISION OPTICAL LLC - ST. PAUL,"867 GRAND AVENUE, SAINT PAUL, MINNESOTA 55105"
THE EYE BAR  - ST. LOUIS,"401 N EUCLID AVE, SAINT LOUIS, MISSOURI 63108"
EYE Q FRISCO,"8380 WARREN PARKWAY #605, FRISCO, TEXAS 75035"
SPECTACLES FINE EYEWEAR,"7500 WINDROSE AVE, B-180, PLANO, TEXAS 75024"
EYE PIECES - PLANO,"7200 BISHOP ROAD, PLANO, TEXAS 75024"
EYES NOUVEAU - SOUTHLAKE,"1247 MAIN STREET, SOUTHLAKE, TEXAS 76092"
PRESTONWOOD EYECARE,"5455 BELT LINE ROAD, SUITE 150, DALLAS, TEXAS 75254"
L'OPTIQUE OF DALLAS,"11930 PRESTON ROAD  SUITE 130, DALLAS, TEXAS 75230"
BURROW OPTICAL,"5901 R STREET, LITTLE ROCK, ARKANSAS 72207"
AMERICAN EYEWEAR - HIGHLAND PARK,"8309 PRESTON ROAD, DALLAS, TEXAS 75225"
OCCHIALI MODERN OPTICS,"8304 PRESTON CENTER PLAZA DRIV, DALLAS, TEXAS 75225"
DR LISA CALAWAY BATKY,"5600 W. LOVERS LANE, DALLAS, TEXAS 75209"
OPTICAL SHOP OF SANTA FE,"201 GALISTEO STREET, SANTA FE, NEW MEXICO 87501"
ADAIR OPTICAL,"3550 W. 7TH STREET, FORT WORTH, TEXAS 76107"
