Name,Address
Optica ,"1245	Worcester Street, Natick 1760"
All Eye Care Doctors,"The Village at Burlington Mall, Burlington, MA 1803"
LEICA Store Boston,"Arlington Street 74, Boston 2116"
SOMA OPTICAL,"8 Union Park Street, Boston, MA 02118 2118"
Eye Q Optical,"12 Eliot Street, Cambridge 2138"
All Eye Care Doctors,"1815 Massachusetts Ave, Ste 117B, Cambridge, MA 2140"
All Eye Care Doctors,"63 Station Landing, Medford, MA 2155"
EYESPOT Chestnut Hill,"1 Boylston St Ste 3D, Chestnut Hill, MA 2467"
Optical Designs,"68 Central Street, Wellesley 2482"
Opt Eyewear Boutique,"138 Wayland Avenue, Providence, RI 2906"
SHADEZ OF VERO,"3115 Ocean Drive, Vero Beach, FL 3115"
Eyes On Rosemont,"595 Brighton Avenue, Portland 4102"
Sight,"17 South Main Street, West Hartford 6107"
Sound Beach Optiks,"177 Sound Beach Avenue, Old Greenwich, CT 6870"
Clear Eye Health Eyecare,"1240 Post Rd E. Suite 1, Westport, CT 6880"
Sunny Vision Corporation,"2500	Lemoine Ave , Fort Lee 7024"
Myoptics Hoboken,"322 Washington Street, Hoboken, NJ 7030"
Gleek & Howard Opticiens,"10 South Fullerton Avenue, NJ, Montclair 7042"
Optical Eyeland,"945 River Avenue, Lakewood, NJ 8701"
Optique Unique,"406 Main Street, Metuchen 8840"
Line Of Sight,"512 W 29th Street, New York, NY 10001"
H Optics Optometry P.C.,"76 Orchard St., New York City 10002"
EYES ON SECOND,"SECOND AVENUE 170, NEW YORK, NY 10003"
DesignerEyes @Westfield WTC,"185 Greenwich Street, New York City  10007"
Eyes On Park,"287 Park Avenue South, #1A, New York, NY 10010"
Union Square Optical INC.,"9 West 14th Street, New York, NY 10011"
VISIONARY OPTICS,"123A 7th Avenue , New York 10011"
Maximeyes,"200 West 24th Street , New York 10011"
Anne et Valentin,"2 Prince Street, New York 10012"
Morgenthal Frederics,"399 West Broadway, New York 10012"
