Name,Address
CORL FAMILY EYECARE 6529,"2901 HORSESHOE PIKE, PALMYRA, PA 17078"
VISION MAX #9465,"247 BROAD ST, MONTOURSVILLE, PA 17754"
UPMC EYE CENTER,"3606 FORBES AVENUE, PITTSBURGH, PA 15213"
JEFFREY S KARLIK MD,"9576 PERRY HIGHWAY SUITE 100, PITTSBURGH, PA 15237"
FOREST HILLS EYE CARE #7429,"409 LOCUST STREET SUITE 1, SIDMAN, PA 15955"
JOHN SHIELDS OD,"2849 LEICHBURG ROAD, LOWER BURRELL, PA 15068"
PENNEY EYE CARE,"722 LONG RUN ROAD, MCKEESPORT, PA 15132"
SHIRLEY EYE CARE #1756,"241 RUSTIC LODGE RD, INDIANA, PA 15701"
GEISINGER MEDICAL CENTER #6758,"18 WOODBINE LANE, DANVILLE, PA 17821"
NITTANY EYE ASSOC-TYRONE #KEPLR-249,"154 HOSPITAL DRIVE STE 6, TYRONE, PA 16686"
PEARLE VISION HARRISBURG #8787 (LO),"5030 JONESTOWN RD ROUTE 22, HARRISBURG, PA 17112"
PEARLE VISION WATERWORKS #8792 (LO),"953 FREEPORT RD, PITTSBURGH, PA 15238"
PEARLE VISION ROBINSON #8796 (LO),"1450 PARK MANOR BLVD, PITTSBURGH, PA 15205"
SCHROECK OPTICAL #21540,"3424 PEACH STREET, ERIE, PA 16508"
CHANG EYE GROUP,"3380 WASHINGTON RD STE 3, CANONSBURG, PA 15317"
SKELTON EYE CARE PC,"9239 ROUTE 6, UNION CITY, PA 16438"
EYECARE GREENGATE,"4566 WILLIAM PENN HIGHWAY, MURRYSVILLE, PA 15668"
FAMILY EYECARE NORTH LLC,"673 CASTLE CREEK DR EXT STE 104, SEVEN FIELDS, PA 16046"
ADVANCED VISION CARE,"681 MCMURRAY ROAD, BETHEL PARK, PA 15102"
MEDICAL OPT ASSOCIATES,"400 BROAD ST. SUITE 2020, SEWICKLEY, PA 15143-1707"
HOFFMAN OPTICAL #3192,"2053 W 8TH STREET, ERIE, PA 16505"
CENTRE OPTICAL SERVICES #3930,"507 LOCUST LANE, STATE COLLEGE, PA 16801-5419"
MORRISON ASSOCIATES,"235 DIVISION STREET, HARRISBURG, PA 17110"
NITTANY EYE ASSOC-LOCK HAVEN #KEPLR-250,"947 BELLEFONTE AVENUE, LOCK HAVEN, PA 17745"
MAIN STREET EYE CARE LLC,"200 S MAIN ST, DU BOIS, PA 15801"
BITTNER VISION ASSOCIATES,"2384 FERGUSON ROAD, ALLISON PARK, PA 15101"
DR. MARK W. AND DR NOAH M EGER #1497,"1501 STATE AVENUE, CORAOPOLIS, PA 15108-2051"
DRS GOEPFERT & GOEPFERT,"1831 E CHOCOLATE AVENUE, HERSHEY, PA 17033-1124"
COUNCIL EYE CARE #1423,"4243 TRANSIT ROAD, WILLIAMSVILLE, NY 14221-7205"
JAMESTOWN OPTOMETRIC GROUP,"555 FAIRMOUNT AVENUE, JAMESTOWN, NY 14701"
HOGENKAMP OPTICS,"6404 W QUAKER STREET, ORCHARD PARK, NY 14127-2353"
PRICE OPTICAL CO,"567 EAST THIRD STREET, WILLIAMSPORT, PA 17701"
SUNSET OPTICS-BL #1922,"1839 WEST 26TH STREET, ERIE, PA 16508"
MYEYEDR-PA-INDIAN SPRINGS #MED-596,"945 INDIAN SPRINGS ROAD, INDIANA, PA 15701-0789"
A-BOSS OPTICIANS,"938 BROOKLINE BOULEVARD, PITTSBURGH, PA 15226-2106"
WIGTON EYE CARE,"120 HOLLYWOOD DRIVE SUITE 102, BUTLER, PA 16001-6460"
KIEFFER OPTICAL,"405 LOOP ST, PITTSBURGH, PA 15215"
ONEVISION HEALTH & WELLNESS #012339,"2867 WASHINGTON ROAD, MCMURRAY, PA 15317"
B DOTY VISION CARE #012129,"112 JONES DRIVE, MCMURRAY, PA 15317-2928"
BERKELY EYE ASSOCIATES-015348,"142 ENCLAVENUE DRIVE, NEW CASTLE, PA 16105"
CURRY'S SPEC OPTOMETRY #4632,"3202 BUFFALO ROAD, ERIE, PA 16510"
P.D. PLASTICS,"609 E MCMURRRAY ROAD, MCMURRAY, PA 15317"
NITTANY EYE ASSOC-WINDMERE #KEPLR-246,"428 WINDMERE DRIVE STE#100, STATE COLLEGE, PA 16801"
GEORGE OPTICAL CO #20030,"1523 PINE AVE STE 1, NIAGARA FALLS, NY 14301"
DR ALEXANDER CHANG,"2101 GREENTREE RD 105, PITTSBURGH, PA 15220"
VISION CARE ASSOCIATES #AEG-1270,"810 CLAIRTON BOULEVARD SUITE 200, PITTSBURGH, PA 15236"
EYECARE GREENGATE PC,"6048 ROUTE 30, GREENSBURG, PA 15601"
EYECARE SPECIALTIES OF PA #AEG-1485,"4156 WILLIAM PENN HIGHWAY, MONROEVILLE, PA 15146"
JOHNSTOWN FAMILY VISION #9767,"1513 SCALP AVENUE SUITE 280, JOHNSTOWN, PA 15904"
DR JOHN ELLIS,"619 EAST CRAWFORD, CONNELLSVILLE, PA 15425"
DRS R & S LIPSKI,"2212 OLD TURNPIKE ROAD, LEWISBURG, PA 17837"
MOUNTAINVIEW EYE ASSOC,"1418 11TH AVENUE, ALTOONA, PA 16601"
EYE PHYSICIANS OPTICAL LLC,"7000 STONEWOOD DRIVE SUITE 200, WEXFORD, PA 15090"
NITTANY EYE ASSOC #KEPLR-248,"4570 PENNS VALLEY RD SUITE 3, SPRING MILLS, PA 16875"
DR CRAIG MATCH #5522,"901 NORTH RIVER ROAD, HALIFAX, PA 17032"
CHOICE OPTICAL #6985,"1359 CONNELLSVILLE ROAD SUITE 18, LEMONT FURNACE, PA 15456"
CRAWFORD EYE ASSOCIATES #5789,"1039 PARK AVENUE, MEADVILLE, PA 16335"
PREMIER EYECARE GROUP #6910,"92 TUSCARORA ST 3RD FLR, HARRISBURG, PA 17104"
MYEYEDR-PA-MURRYSVILLE #MED-592,"203B BLUE SPRUCE WAY, MURRYSVILLE, PA 15668"
DR JAMES BOUQUET,"233 W PENN AVENUE, CLEONA, PA 17042"
NORTH PARK OPTICAL #6558,"5900 CORPORATE DRIVE SUITE 150, PITTSBURGH, PA 15237"
STOKEN OPTICAL #7723,"338 ALEXANDER SPRING RD STE A, CARLISLE, PA 17015"
WATSON'S OPTICAL #1260,"50 VALLEY STREET, LEWISTOWN, PA 17044"
GUZZETTI OPTOMETRY SERVICES-012183,"212 STATE STREET BOX 429, BEAVER, PA 15009"
WYNWOOD EYE CLINIC #732585,"1121 WEST BRANCH HIGHWAY, WINFIELD, PA 17889"
KIRMAN EYE #019898,"29 W MAIN STREET, HUMMELSTOWN, PA 17036"
DR GARY T BROTHERSON INC #30321,"1801 W 8TH ST, ERIE, PA 16505"
EYECARE SPECIALTIES #AEG-1141,"110 VIP DR STE 301, WEXFORD, PA 15090"
CSONKA OPTICAL ASSOCIATES-6388,"6013 BABCOCK BOULEVARD, PITTSBURGH, PA 15237"
WIGTON EYE CARE,"16 PINEGROVE VILLAGE DR, GROVE CITY, PA 16127"
DR D L DECONCILIS #1045,"950 S CENTRAL AVENUE, CANONSBURG, PA 15317"
MASTRIAN OPTOMETRIC,"490 N KERRWOOD DRIVE SUITE 203, HERMITAGE, PA 16148"
RITTER OPTICAL,"2520 MOSSIDE BLVD 2, MONROEVILLE, PA 15146"
BOUQUET & MULLIGAN EYE ASSOC,"1676 SOUTH MARKET STREET, ELIZABETHTOWN, PA 17022"
DR SCOTT A GRIFFITH #6394,"2640 WEST 38TH STREET, ERIE, PA 16506-4524"
MID CITY OPTICIANS 3865,"968 PAYNE AVENUE, NORTH TONAWANDA, NY 14120"
GOOD LOOKS EYEWEAR,"1101 FREEPORT ROAD, PITTSBURGH, PA 15238"
MILTON S HERSHEY MED CTR #6556,"500 UNIVERSITY DR/UPC1 STE 800, HERSHEY, PA 17033"
REBMAN EYECARE,"282 MAYTOWN ROAD SUITE 100, ELIZABETHTOWN, PA 17022"
KILMORE EYE ASSOC #006672,"890 CENTURY DRIVE, MECHANICSBURG, PA 17055"
THE OPTICAL STORE #8955,"3750 DELAWARE AVENUE, KENMORE, NY 14217"
GOOD LOOKS EYEWEAR,"20215 US-19 SUITE 104, CRANBERRY TOWNSHIP, PA 16066"
MOSSIDE OPTICAL,"2571 MOSSIDE BLVD 2, MONROEVILLE, PA 15146"
BARTOLOTTA VISION #5416,"3133 NEW GERMANY ROAD SUITE 61, EBENSBURG, PA 15931"
GRAYTOK FAMILY VISION CARE,"235 HUMPHREY RD STE 1, GREENSBURG, PA 15601"
ASSOCIATES IN FAMILY EYECARE #6424,"410 THEATER DRIVE, JOHNSTOWN, PA 15904"
DR ROBERT MC CAULEY,"1000 BROOKTREE ROAD STE 300, WEXFORD, PA 15090"
HUNTINGDON VISION CENTER,"828 WASHINGTON STREET, HUNTINGDON, PA 16652"
SANDERS & SANDERS,"4600 BUFFALO ROAD, ERIE, PA 16510"
HAMPDEN OPTICAL #1075,"4900 CARLISLE PIKE, MECHANICSBURG, PA 17050"
PITTSBURGH OPT SHOP #018056,"1373 WASHINGTON PIKE, BRIDGEVILLE, PA 15017"
ARLINGTON OPTICAL LTD #4774,"4386 STURBRIDGE DR, HARRISBURG, PA 17110"
OPTOMETRIC CARE INC,"2576 BRODHEAD ROAD, ALIQUIPPA, PA 15001"
FAMILY OPTICAL CENTER PC #8048,"900 WATER STREET PO BOX 867, MEADVILLE, PA 16335"
BAYFRONT EYECARE #012051,"300 STATE STREET SUITE 202, ERIE, PA 16507"
MEDICAL ASSOC OF ERIE #8524,"4000 STERRETTANIA ROAD, ERIE, PA 16506"
DR REBECCA WINCEK #9234,"678 PHILDELPHIA STREET, INDIANA, PA 15701"
HAPPY VALLEY OPTICAL INC #4762,"208 SOUTH ALLEN STREET, STATE COLLEGE, PA 16801"
RYAN W COWBURN OD,"2121 SHELLY DRIVE, INDIANA, PA 15701"
DR THOMAS FINDLAN,"1675 STATE ROUTE 51, JEFFERSON HILLS, PA 15025"
NITTANY EYE ASSOC-GRAYS WOODS #KEPLR-247,"132 ABIGAIL LANE, PORT MATILDA, PA 16870"
OAKLAND FASHION OPTICAL 50-0033200,"311 SOUTH CRAIG STREET, PITTSBURGH, PA 15213"
EYE CANDY OPTICAL CENTER,"3923 WASHINGTON ROAD, MCMURRAY, PA 15317"
STAMM FAMILY OPTICAL P.C #9928,"3216 STATE ROUTE 257 PO BOX 208, SENECA, PA 16346"
VISION SOURCE SAXONBURG,"324 MAIN STREET PO BOX 500, SAXONBURG, PA 16056"
SHARON C O'ROURKE OD LLC,"475 E BRUCETON, PITTSBURGH, PA 15236"
EYEPOLIS #5852,"3136 MAIN ST, MUNHALL, PA 15120"
HUET EYE ASSOCIATES #021752,"8301 PERRY HIGHWAY, PITTSBURGH, PA 15237"
DAOUD EYE CARE,"9173 ROUTE 30 STE 2, IRWIN, PA 15642"
"OAKMONT EYE CARE, LLC","750 THIRD STREET SUITE 1, OAKMONT, PA 15139"
LAUREL RIDGE EYECARE,"139 WEST FAYETTE STREET, UNIONTOWN, PA 15401"
FREEPORT EYE CARE CENTER INC,"332 4TH STREET PO BOX 367, FREEPORT, PA 16229"
J HEIMER J FIORE MD #74312,"1700 OLD GATESBURG RD STE 300, STATE COLLEGE, PA 16803"
NATHAN C STEBBINS OD PC #ALI18335,"200 S FINDLEY STREET, PUNXSUTAWNEY, PA 15767"
VISION SOURCE MEADVILLE,"1073 S MAIN STREET, MEADVILLE, PA 16335"
ENHANCED VISION CARE,"108 OLD FARM OFFICE ROAD, DUNCANSVILLE, PA 16635"
PEARLE VISION,"PO BOX 217, PHELPS, NY 14532"
FAYETTE REGIONAL EYECARE 21084,"82 MCCLELLANDTOWN ROAD, UNIONTOWN, PA 15401"
FAMILY EYECARE,"400 SEVENTH STREET, ELLWOOD CITY, PA 16117"
AURORA OPTOMETRIC GROUP #447,"980 WEST MAPLE COURT, ELMA, NY 14059"
PITTSBURGH OPTICAL #022251,"101 SMITH DRIVE, CRANBERRY TOWNSHIP, PA 16066"
BLANEY VISION CENTER LLC,"148 MEADVILLE STREET, EDINBORO, PA 16412"
SARAH A SHAW OD OPTOMETRIST PLLC,"215 E AVE, LOCKPORT, NY 14094"
HIGASHI EYEWEAR #7363,"900 MARKET STREET, LEMOYNE, PA 17043"
FAMILY EYECARE,"214 WEST NEW CASTLE ST, ZELIENOPLE, PA 16063"
PEARLE VISION 7764 (SC) (21125961),"5030 JONESTOWN RD ROUTE 22, HARRISBURG, PA 17112"
PEARLE VISION 7768 (SC) (21125960),"953 FREEPORT RD, PITTSBURGH, PA 15238"
PEARLE VISION 7777 (SC) (21125964),"1450 PARK MANOR BLVD, PITTSBURGH, PA 15205"
MYOPTIK,"102 QUAIL LANE STE 2, MIFFLINBURG, PA 17844"
